Web Search Interest
France; 2004 - present

Interest over time
Week,Hair Care
2007-01-14 - 2007-01-20,+10%
2007-01-21 - 2007-01-27,+7%
2007-01-28 - 2007-02-03,+7%
2007-02-04 - 2007-02-10,+17%
2007-02-11 - 2007-02-17,+21%
2007-02-18 - 2007-02-24,+43%
2007-02-25 - 2007-03-03,+38%
2007-03-04 - 2007-03-10,+26%
2007-03-11 - 2007-03-17,+17%
2007-03-18 - 2007-03-24,+19%
2007-03-25 - 2007-03-31,+29%
2007-04-01 - 2007-04-07,+29%
2007-04-08 - 2007-04-14,+29%
2007-04-15 - 2007-04-21,+36%
2007-04-22 - 2007-04-28,+17%
2007-04-29 - 2007-05-05,+21%
2007-05-06 - 2007-05-12,+26%
2007-05-13 - 2007-05-19,+31%
2007-05-20 - 2007-05-26,+31%
2007-05-27 - 2007-06-02,+26%
2007-06-03 - 2007-06-09,+31%
2007-06-10 - 2007-06-16,+31%
2007-06-17 - 2007-06-23,+29%
2007-06-24 - 2007-06-30,+26%
2007-07-01 - 2007-07-07,+24%
2007-07-08 - 2007-07-14,+24%
2007-07-15 - 2007-07-21,+31%
2007-07-22 - 2007-07-28,+40%
2007-07-29 - 2007-08-04,+33%
2007-08-05 - 2007-08-11,+36%
2007-08-12 - 2007-08-18,+45%
2007-08-19 - 2007-08-25,+57%
2007-08-26 - 2007-09-01,+60%
2007-09-02 - 2007-09-08,+38%
2007-09-09 - 2007-09-15,+31%
2007-09-16 - 2007-09-22,+31%
2007-09-23 - 2007-09-29,+21%
2007-09-30 - 2007-10-06,+33%
2007-10-07 - 2007-10-13,+31%
2007-10-14 - 2007-10-20,+26%
2007-10-21 - 2007-10-27,+26%
2007-10-28 - 2007-11-03,+57%
2007-11-04 - 2007-11-10,+36%
2007-11-11 - 2007-11-17,+29%
2007-11-18 - 2007-11-24,+31%
2007-11-25 - 2007-12-01,+38%
2007-12-02 - 2007-12-08,+43%
2007-12-09 - 2007-12-15,+45%
2007-12-16 - 2007-12-22,+43%
2007-12-23 - 2007-12-29,+55%
2007-12-30 - 2008-01-05,+45%
2008-01-06 - 2008-01-12,+24%
2008-01-13 - 2008-01-19,+31%
2008-01-20 - 2008-01-26,+26%
2008-01-27 - 2008-02-02,+31%
2008-02-03 - 2008-02-09,+33%
2008-02-10 - 2008-02-16,+31%
2008-02-17 - 2008-02-23,+48%
2008-02-24 - 2008-03-01,+43%
2008-03-02 - 2008-03-08,+40%
2008-03-09 - 2008-03-15,+36%
2008-03-16 - 2008-03-22,+31%
2008-03-23 - 2008-03-29,+36%
2008-03-30 - 2008-04-05,+45%
2008-04-06 - 2008-04-12,+45%
2008-04-13 - 2008-04-19,+50%
2008-04-20 - 2008-04-26,+50%
2008-04-27 - 2008-05-03,+38%
2008-05-04 - 2008-05-10,+29%
2008-05-11 - 2008-05-17,+31%
2008-05-18 - 2008-05-24,+33%
2008-05-25 - 2008-05-31,+38%
2008-06-01 - 2008-06-07,+36%
2008-06-08 - 2008-06-14,+43%
2008-06-15 - 2008-06-21,+43%
2008-06-22 - 2008-06-28,+38%
2008-06-29 - 2008-07-05,+36%
2008-07-06 - 2008-07-12,+38%
2008-07-13 - 2008-07-19,+45%
2008-07-20 - 2008-07-26,+45%
2008-07-27 - 2008-08-02,+48%
2008-08-03 - 2008-08-09,+52%
2008-08-10 - 2008-08-16,+55%
2008-08-17 - 2008-08-23,+69%
2008-08-24 - 2008-08-30,+81%
2008-08-31 - 2008-09-06,+52%
2008-09-07 - 2008-09-13,+43%
2008-09-14 - 2008-09-20,+43%
2008-09-21 - 2008-09-27,+43%
2008-09-28 - 2008-10-04,+38%
2008-10-05 - 2008-10-11,+38%
2008-10-12 - 2008-10-18,+38%
2008-10-19 - 2008-10-25,+38%
2008-10-26 - 2008-11-01,+48%
2008-11-02 - 2008-11-08,+40%
2008-11-09 - 2008-11-15,+33%
2008-11-16 - 2008-11-22,+31%
2008-11-23 - 2008-11-29,+29%
2008-11-30 - 2008-12-06,+31%
2008-12-07 - 2008-12-13,+43%
2008-12-14 - 2008-12-20,+50%
2008-12-21 - 2008-12-27,+50%
2008-12-28 - 2009-01-03,+40%
2009-01-04 - 2009-01-10,+17%
2009-01-11 - 2009-01-17,+24%
2009-01-18 - 2009-01-24,+29%
2009-01-25 - 2009-01-31,+29%
2009-02-01 - 2009-02-07,+31%
2009-02-08 - 2009-02-14,+38%
2009-02-15 - 2009-02-21,+48%
2009-02-22 - 2009-02-28,+48%
2009-03-01 - 2009-03-07,+43%
2009-03-08 - 2009-03-14,+36%
2009-03-15 - 2009-03-21,+36%
2009-03-22 - 2009-03-28,+36%
2009-03-29 - 2009-04-04,+38%
2009-04-05 - 2009-04-11,+48%
2009-04-12 - 2009-04-18,+45%
2009-04-19 - 2009-04-25,+50%
2009-04-26 - 2009-05-02,+38%
2009-05-03 - 2009-05-09,+40%
2009-05-10 - 2009-05-16,+43%
2009-05-17 - 2009-05-23,+38%
2009-05-24 - 2009-05-30,+33%
2009-05-31 - 2009-06-06,+26%
2009-06-07 - 2009-06-13,+40%
2009-06-14 - 2009-06-20,+36%
2009-06-21 - 2009-06-27,+33%
2009-06-28 - 2009-07-04,+31%
2009-07-05 - 2009-07-11,+31%
2009-07-12 - 2009-07-18,+38%
2009-07-19 - 2009-07-25,+43%
2009-07-26 - 2009-08-01,+50%
2009-08-02 - 2009-08-08,+50%
2009-08-09 - 2009-08-15,+60%
2009-08-16 - 2009-08-22,+67%
2009-08-23 - 2009-08-29,+76%
2009-08-30 - 2009-09-05,+55%
2009-09-06 - 2009-09-12,+38%
2009-09-13 - 2009-09-19,+31%
2009-09-20 - 2009-09-26,+38%
2009-09-27 - 2009-10-03,+33%
2009-10-04 - 2009-10-10,+38%
2009-10-11 - 2009-10-17,+36%
2009-10-18 - 2009-10-24,+29%
2009-10-25 - 2009-10-31,+48%
2009-11-01 - 2009-11-07,+40%
2009-11-08 - 2009-11-14,+33%
2009-11-15 - 2009-11-21,+33%
2009-11-22 - 2009-11-28,+33%
2009-11-29 - 2009-12-05,+38%
2009-12-06 - 2009-12-12,+43%
2009-12-13 - 2009-12-19,+40%
2009-12-20 - 2009-12-26,+45%
2009-12-27 - 2010-01-02,+48%
2010-01-03 - 2010-01-09,+19%
2010-01-10 - 2010-01-16,+24%
2010-01-17 - 2010-01-23,+33%
2010-01-24 - 2010-01-30,+33%
2010-01-31 - 2010-02-06,+45%
2010-02-07 - 2010-02-13,+38%
2010-02-14 - 2010-02-20,+48%
2010-02-21 - 2010-02-27,+45%
2010-02-28 - 2010-03-06,+48%
2010-03-07 - 2010-03-13,+43%
2010-03-14 - 2010-03-20,+40%
2010-03-21 - 2010-03-27,+45%
2010-03-28 - 2010-04-03,+43%
2010-04-04 - 2010-04-10,+45%
2010-04-11 - 2010-04-17,+52%
2010-04-18 - 2010-04-24,+48%
2010-04-25 - 2010-05-01,+38%
2010-05-02 - 2010-05-08,+40%
2010-05-09 - 2010-05-15,+55%
2010-05-16 - 2010-05-22,+48%
2010-05-23 - 2010-05-29,+40%
2010-05-30 - 2010-06-05,+45%
2010-06-06 - 2010-06-12,+52%
2010-06-13 - 2010-06-19,+48%
2010-06-20 - 2010-06-26,+38%
2010-06-27 - 2010-07-03,+40%
2010-07-04 - 2010-07-10,+36%
2010-07-11 - 2010-07-17,+43%
2010-07-18 - 2010-07-24,+45%
2010-07-25 - 2010-07-31,+55%
2010-08-01 - 2010-08-07,+64%
2010-08-08 - 2010-08-14,+57%
2010-08-15 - 2010-08-21,+69%
2010-08-22 - 2010-08-28,+90%
2010-08-29 - 2010-09-04,+64%
2010-09-05 - 2010-09-11,+52%
2010-09-12 - 2010-09-18,+43%
2010-09-19 - 2010-09-25,+43%
2010-09-26 - 2010-10-02,+45%
2010-10-03 - 2010-10-09,+52%
2010-10-10 - 2010-10-16,+55%
2010-10-17 - 2010-10-23,+40%
2010-10-24 - 2010-10-30,+62%
2010-10-31 - 2010-11-06,+52%
2010-11-07 - 2010-11-13,+48%
2010-11-14 - 2010-11-20,+43%
2010-11-21 - 2010-11-27,+50%
2010-11-28 - 2010-12-04,+45%
2010-12-05 - 2010-12-11,+55%
2010-12-12 - 2010-12-18,+57%
2010-12-19 - 2010-12-25,+62%
2010-12-26 - 2011-01-01,+60%
2011-01-02 - 2011-01-08,+40%
2011-01-09 - 2011-01-15,+40%
2011-01-16 - 2011-01-22,+48%
2011-01-23 - 2011-01-29,+50%
2011-01-30 - 2011-02-05,+55%
2011-02-06 - 2011-02-12,+55%
2011-02-13 - 2011-02-19,+62%
2011-02-20 - 2011-02-26,+74%
2011-02-27 - 2011-03-05,+69%
2011-03-06 - 2011-03-12,+52%
2011-03-13 - 2011-03-19,+57%
2011-03-20 - 2011-03-26,+52%
2011-03-27 - 2011-04-02,+52%
2011-04-03 - 2011-04-09,+52%
2011-04-10 - 2011-04-16,+48%
2011-04-17 - 2011-04-23,+55%
2011-04-24 - 2011-04-30,+50%
2011-05-01 - 2011-05-07,+55%
2011-05-08 - 2011-05-14,+52%
2011-05-15 - 2011-05-21,+57%
2011-05-22 - 2011-05-28,+50%
2011-05-29 - 2011-06-04,+57%
2011-06-05 - 2011-06-11,+64%
2011-06-12 - 2011-06-18,+67%
2011-06-19 - 2011-06-25,+57%
2011-06-26 - 2011-07-02,+57%
2011-07-03 - 2011-07-09,+57%
