Web Search Interest
Hong Kong; 2004 - present

Interest over time
Week,Business Finance
2006-02-05 - 2006-02-11,+73%
2006-02-12 - 2006-02-18,+70%
2006-02-19 - 2006-02-25,+68%
2006-02-26 - 2006-03-04,+73%
2006-03-05 - 2006-03-11,+65%
2006-03-12 - 2006-03-18,+68%
2006-03-19 - 2006-03-25,+70%
2006-03-26 - 2006-04-01,+81%
2006-04-02 - 2006-04-08,+65%
2006-04-09 - 2006-04-15,+68%
2006-04-16 - 2006-04-22,+57%
2006-04-23 - 2006-04-29,+65%
2006-04-30 - 2006-05-06,+43%
2006-05-07 - 2006-05-13,+73%
2006-05-14 - 2006-05-20,+81%
2006-05-21 - 2006-05-27,+92%
2006-05-28 - 2006-06-03,+57%
2006-06-04 - 2006-06-10,+57%
2006-06-11 - 2006-06-17,+54%
2006-06-18 - 2006-06-24,+62%
2006-06-25 - 2006-07-01,+65%
2006-07-02 - 2006-07-08,+51%
2006-07-09 - 2006-07-15,+57%
2006-07-16 - 2006-07-22,+86%
2006-07-23 - 2006-07-29,+54%
2006-07-30 - 2006-08-05,+73%
2006-08-06 - 2006-08-12,+62%
2006-08-13 - 2006-08-19,+51%
2006-08-20 - 2006-08-26,+51%
2006-08-27 - 2006-09-02,+68%
2006-09-03 - 2006-09-09,+59%
2006-09-10 - 2006-09-16,+70%
2006-09-17 - 2006-09-23,+54%
2006-09-24 - 2006-09-30,+73%
2006-10-01 - 2006-10-07,+62%
2006-10-08 - 2006-10-14,+68%
2006-10-15 - 2006-10-21,+81%
2006-10-22 - 2006-10-28,+89%
2006-10-29 - 2006-11-04,+70%
2006-11-05 - 2006-11-11,+65%
2006-11-12 - 2006-11-18,+70%
2006-11-19 - 2006-11-25,+59%
2006-11-26 - 2006-12-02,+59%
2006-12-03 - 2006-12-09,+62%
2006-12-10 - 2006-12-16,+76%
2006-12-17 - 2006-12-23,+65%
2006-12-24 - 2006-12-30,+35%
2006-12-31 - 2007-01-06,+51%
2007-01-07 - 2007-01-13,+54%
2007-01-14 - 2007-01-20,+54%
2007-01-21 - 2007-01-27,+68%
2007-01-28 - 2007-02-03,+57%
2007-02-04 - 2007-02-10,+57%
2007-02-11 - 2007-02-17,+59%
2007-02-18 - 2007-02-24,+30%
2007-02-25 - 2007-03-03,+73%
2007-03-04 - 2007-03-10,+78%
2007-03-11 - 2007-03-17,+70%
2007-03-18 - 2007-03-24,+78%
2007-03-25 - 2007-03-31,+76%
2007-04-01 - 2007-04-07,+51%
2007-04-08 - 2007-04-14,+57%
2007-04-15 - 2007-04-21,+92%
2007-04-22 - 2007-04-28,+68%
2007-04-29 - 2007-05-05,+68%
2007-05-06 - 2007-05-12,+62%
2007-05-13 - 2007-05-19,+59%
2007-05-20 - 2007-05-26,+73%
2007-05-27 - 2007-06-02,+68%
2007-06-03 - 2007-06-09,+78%
2007-06-10 - 2007-06-16,+68%
2007-06-17 - 2007-06-23,+73%
2007-06-24 - 2007-06-30,+70%
2007-07-01 - 2007-07-07,+105%
2007-07-08 - 2007-07-14,+97%
2007-07-15 - 2007-07-21,+89%
2007-07-22 - 2007-07-28,+100%
2007-07-29 - 2007-08-04,+105%
2007-08-05 - 2007-08-11,+78%
2007-08-12 - 2007-08-18,+76%
2007-08-19 - 2007-08-25,+78%
2007-08-26 - 2007-09-01,+95%
2007-09-02 - 2007-09-08,+97%
2007-09-09 - 2007-09-15,+81%
2007-09-16 - 2007-09-22,+95%
2007-09-23 - 2007-09-29,+86%
2007-09-30 - 2007-10-06,+114%
2007-10-07 - 2007-10-13,+122%
2007-10-14 - 2007-10-20,+103%
2007-10-21 - 2007-10-27,+97%
2007-10-28 - 2007-11-03,+100%
2007-11-04 - 2007-11-10,+122%
2007-11-11 - 2007-11-17,+119%
2007-11-18 - 2007-11-24,+81%
2007-11-25 - 2007-12-01,+89%
2007-12-02 - 2007-12-08,+92%
2007-12-09 - 2007-12-15,+76%
2007-12-16 - 2007-12-22,+70%
2007-12-23 - 2007-12-29,+38%
2007-12-30 - 2008-01-05,+46%
2008-01-06 - 2008-01-12,+59%
2008-01-13 - 2008-01-19,+73%
2008-01-20 - 2008-01-26,+92%
2008-01-27 - 2008-02-02,+78%
2008-02-03 - 2008-02-09,+22%
2008-02-10 - 2008-02-16,+51%
2008-02-17 - 2008-02-23,+59%
2008-02-24 - 2008-03-01,+73%
2008-03-02 - 2008-03-08,+84%
2008-03-09 - 2008-03-15,+170%
2008-03-16 - 2008-03-22,+119%
2008-03-23 - 2008-03-29,+70%
2008-03-30 - 2008-04-05,+59%
2008-04-06 - 2008-04-12,+68%
2008-04-13 - 2008-04-19,+57%
2008-04-20 - 2008-04-26,+59%
2008-04-27 - 2008-05-03,+38%
2008-05-04 - 2008-05-10,+62%
2008-05-11 - 2008-05-17,+49%
2008-05-18 - 2008-05-24,+57%
2008-05-25 - 2008-05-31,+46%
2008-06-01 - 2008-06-07,+35%
2008-06-08 - 2008-06-14,+35%
2008-06-15 - 2008-06-21,+49%
2008-06-22 - 2008-06-28,+43%
2008-06-29 - 2008-07-05,+32%
2008-07-06 - 2008-07-12,+43%
2008-07-13 - 2008-07-19,+62%
2008-07-20 - 2008-07-26,+49%
2008-07-27 - 2008-08-02,+46%
2008-08-03 - 2008-08-09,+30%
2008-08-10 - 2008-08-16,+32%
2008-08-17 - 2008-08-23,+27%
2008-08-24 - 2008-08-30,+46%
2008-08-31 - 2008-09-06,+41%
2008-09-07 - 2008-09-13,+43%
2008-09-14 - 2008-09-20,+116%
2008-09-21 - 2008-09-27,+70%
2008-09-28 - 2008-10-04,+62%
2008-10-05 - 2008-10-11,+70%
2008-10-12 - 2008-10-18,+76%
2008-10-19 - 2008-10-25,+57%
2008-10-26 - 2008-11-01,+76%
2008-11-02 - 2008-11-08,+57%
2008-11-09 - 2008-11-15,+57%
2008-11-16 - 2008-11-22,+62%
2008-11-23 - 2008-11-29,+49%
2008-11-30 - 2008-12-06,+43%
2008-12-07 - 2008-12-13,+38%
2008-12-14 - 2008-12-20,+32%
2008-12-21 - 2008-12-27,-5%
2008-12-28 - 2009-01-03,+11%
2009-01-04 - 2009-01-10,+35%
2009-01-11 - 2009-01-17,+41%
2009-01-18 - 2009-01-24,+46%
2009-01-25 - 2009-01-31,+14%
2009-02-01 - 2009-02-07,+43%
2009-02-08 - 2009-02-14,+38%
2009-02-15 - 2009-02-21,+27%
2009-02-22 - 2009-02-28,+32%
2009-03-01 - 2009-03-07,+43%
2009-03-08 - 2009-03-14,+46%
2009-03-15 - 2009-03-21,+41%
2009-03-22 - 2009-03-28,+41%
2009-03-29 - 2009-04-04,+41%
2009-04-05 - 2009-04-11,+35%
2009-04-12 - 2009-04-18,+38%
2009-04-19 - 2009-04-25,+30%
2009-04-26 - 2009-05-02,+27%
2009-05-03 - 2009-05-09,+41%
2009-05-10 - 2009-05-16,+35%
2009-05-17 - 2009-05-23,+35%
2009-05-24 - 2009-05-30,+22%
2009-05-31 - 2009-06-06,+38%
2009-06-07 - 2009-06-13,+27%
2009-06-14 - 2009-06-20,+32%
2009-06-21 - 2009-06-27,+30%
2009-06-28 - 2009-07-04,+43%
2009-07-05 - 2009-07-11,+27%
2009-07-12 - 2009-07-18,+35%
2009-07-19 - 2009-07-25,+43%
2009-07-26 - 2009-08-01,+54%
2009-08-02 - 2009-08-08,+38%
2009-08-09 - 2009-08-15,+38%
2009-08-16 - 2009-08-22,+35%
2009-08-23 - 2009-08-29,+38%
2009-08-30 - 2009-09-05,+43%
2009-09-06 - 2009-09-12,+43%
2009-09-13 - 2009-09-19,+49%
2009-09-20 - 2009-09-26,+59%
2009-09-27 - 2009-10-03,+59%
2009-10-04 - 2009-10-10,+65%
2009-10-11 - 2009-10-17,+57%
2009-10-18 - 2009-10-24,+62%
2009-10-25 - 2009-10-31,+46%
2009-11-01 - 2009-11-07,+70%
2009-11-08 - 2009-11-14,+73%
2009-11-15 - 2009-11-21,+73%
2009-11-22 - 2009-11-28,+73%
2009-11-29 - 2009-12-05,+68%
2009-12-06 - 2009-12-12,+59%
2009-12-13 - 2009-12-19,+54%
2009-12-20 - 2009-12-26,+32%
2009-12-27 - 2010-01-02,+27%
2010-01-03 - 2010-01-09,+62%
2010-01-10 - 2010-01-16,+57%
2010-01-17 - 2010-01-23,+57%
2010-01-24 - 2010-01-30,+65%
2010-01-31 - 2010-02-06,+76%
2010-02-07 - 2010-02-13,+59%
2010-02-14 - 2010-02-20,+24%
2010-02-21 - 2010-02-27,+59%
2010-02-28 - 2010-03-06,+59%
2010-03-07 - 2010-03-13,+62%
2010-03-14 - 2010-03-20,+54%
2010-03-21 - 2010-03-27,+41%
2010-03-28 - 2010-04-03,+49%
2010-04-04 - 2010-04-10,+41%
2010-04-11 - 2010-04-17,+59%
2010-04-18 - 2010-04-24,+51%
2010-04-25 - 2010-05-01,+76%
2010-05-02 - 2010-05-08,+62%
2010-05-09 - 2010-05-15,+59%
2010-05-16 - 2010-05-22,+43%
2010-05-23 - 2010-05-29,+54%
2010-05-30 - 2010-06-05,+46%
2010-06-06 - 2010-06-12,+46%
2010-06-13 - 2010-06-19,+27%
2010-06-20 - 2010-06-26,+51%
2010-06-27 - 2010-07-03,+54%
2010-07-04 - 2010-07-10,+46%
2010-07-11 - 2010-07-17,+41%
2010-07-18 - 2010-07-24,+41%
2010-07-25 - 2010-07-31,+46%
2010-08-01 - 2010-08-07,+43%
2010-08-08 - 2010-08-14,+38%
2010-08-15 - 2010-08-21,+32%
2010-08-22 - 2010-08-28,+38%
2010-08-29 - 2010-09-04,+35%
2010-09-05 - 2010-09-11,+46%
2010-09-12 - 2010-09-18,+51%
2010-09-19 - 2010-09-25,+43%
2010-09-26 - 2010-10-02,+57%
2010-10-03 - 2010-10-09,+59%
2010-10-10 - 2010-10-16,+51%
2010-10-17 - 2010-10-23,+46%
2010-10-24 - 2010-10-30,+49%
2010-10-31 - 2010-11-06,+38%
2010-11-07 - 2010-11-13,+49%
2010-11-14 - 2010-11-20,+46%
2010-11-21 - 2010-11-27,+38%
2010-11-28 - 2010-12-04,+41%
2010-12-05 - 2010-12-11,+38%
2010-12-12 - 2010-12-18,+30%
2010-12-19 - 2010-12-25,+19%
2010-12-26 - 2011-01-01,+16%
2011-01-02 - 2011-01-08,+51%
2011-01-09 - 2011-01-15,+62%
2011-01-16 - 2011-01-22,+62%
2011-01-23 - 2011-01-29,+54%
2011-01-30 - 2011-02-05,+27%
2011-02-06 - 2011-02-12,+43%
2011-02-13 - 2011-02-19,+41%
2011-02-20 - 2011-02-26,+49%
2011-02-27 - 2011-03-05,+43%
2011-03-06 - 2011-03-12,+49%
2011-03-13 - 2011-03-19,+32%
2011-03-20 - 2011-03-26,+43%
2011-03-27 - 2011-04-02,+43%
2011-04-03 - 2011-04-09,+41%
2011-04-10 - 2011-04-16,+38%
2011-04-17 - 2011-04-23,+27%
2011-04-24 - 2011-04-30,+27%
2011-05-01 - 2011-05-07,+32%
2011-05-08 - 2011-05-14,+32%
2011-05-15 - 2011-05-21,+41%
2011-05-22 - 2011-05-28,+38%
2011-05-29 - 2011-06-04,+43%
2011-06-05 - 2011-06-11,+22%
2011-06-12 - 2011-06-18,+32%
2011-06-19 - 2011-06-25,+32%
2011-06-26 - 2011-07-02,+30%
2011-07-03 - 2011-07-09,+38%
2011-07-10 - 2011-07-16,+32%
2011-07-17 - 2011-07-23,+27%
2011-07-24 - 2011-07-30,+35%
2011-07-31 - 2011-08-06,+43%
2011-08-07 - 2011-08-13,+38%
2011-08-14 - 2011-08-20,+22%
2011-08-21 - 2011-08-27,+22%
2011-08-28 - 2011-09-03,+38%
2011-09-04 - 2011-09-10,+35%
2011-09-11 - 2011-09-17,+30%
2011-09-18 - 2011-09-24,+30%
2011-09-25 - 2011-10-01,+41%
2011-10-02 - 2011-10-08,+30%
2011-10-09 - 2011-10-15,+30%
2011-10-16 - 2011-10-22,+27%
2011-10-23 - 2011-10-29,+35%
2011-10-30 - 2011-11-05,+35%
2011-11-06 - 2011-11-12,+35%
2011-11-13 - 2011-11-19,+32%
2011-11-20 - 2011-11-26,+35%
2011-11-27 - 2011-12-03,+43%
2011-12-04 - 2011-12-10,+30%
2011-12-11 - 2011-12-17,+30%
2011-12-18 - 2011-12-24,+19%
2011-12-25 - 2011-12-31,+11%
2012-01-01 - 2012-01-07,+27%
2012-01-08 - 2012-01-14,+35%
2012-01-15 - 2012-01-21,+32%
2012-01-22 - 2012-01-28,+0%
2012-01-29 - 2012-02-04,+35%
2012-02-05 - 2012-02-11,+27%
2012-02-12 - 2012-02-18,+24%
2012-02-19 - 2012-02-25,+27%
2012-02-26 - 2012-03-03,+38%
2012-03-04 - 2012-03-10,+24%
2012-03-11 - 2012-03-17,+27%
2012-03-18 - 2012-03-24,+14%
2012-03-25 - 2012-03-31,+32%
2012-04-01 - 2012-04-07,+16%
2012-04-08 - 2012-04-14,+19%
2012-04-15 - 2012-04-21,+22%
2012-04-22 - 2012-04-28,+24%
2012-04-29 - 2012-05-05,+22%
2012-05-06 - 2012-05-12,+35%
2012-05-13 - 2012-05-19,+41%
2012-05-20 - 2012-05-26,+27%
2012-05-27 - 2012-06-02,+30%
2012-06-03 - 2012-06-09,+30%
2012-06-10 - 2012-06-16,+22%
2012-06-17 - 2012-06-23,+19%
2012-06-24 - 2012-06-30,+30%
2012-07-01 - 2012-07-07,+32%
2012-07-08 - 2012-07-14,+27%
2012-07-15 - 2012-07-21,+16%
2012-07-22 - 2012-07-28,+14%
2012-07-29 - 2012-08-04,+32%
2012-08-05 - 2012-08-11,+22%
2012-08-12 - 2012-08-18,+16%
2012-08-19 - 2012-08-25,+8%
2012-08-26 - 2012-09-01,+22%
2012-09-02 - 2012-09-08,+32%
2012-09-09 - 2012-09-15,+24%
2012-09-16 - 2012-09-22,+19%
2012-09-23 - 2012-09-29,+27%
2012-09-30 - 2012-10-06,+16%
2012-10-07 - 2012-10-13,+22%
2012-10-14 - 2012-10-20,+24%
2012-10-21 - 2012-10-27,+16%
2012-10-28 - 2012-11-03,+30%
2012-11-04 - 2012-11-10,+24%
2012-11-11 - 2012-11-17,+24%
2012-11-18 - 2012-11-24, 
2012-11-25 - 2012-12-01, 



Top searches
hang seng,100
hang seng bank,80
恆生,50
銀行,40
恆生銀行,25
risk,25
ubs,15
ebanking,15
finance,15
hangseng,15
morgan stanley,15
heng seng,15
ipo,10
goldman sachs,10
jp morgan,10
heng seng bank,10
barclays,10
hang seng ebanking,10
private equity,10
credit suisse,10



Rising searches
hang seng ebanking,Breakout
heng seng bank,Breakout
hang seng,+300%
hang seng bank,+250%
ebanking,+200%
恆生,+150%
barclays,+120%
恆生銀行,+120%
heng seng,+100%
goldman sachs,+90%



