Web Search Interest
Spain; 2004 - present

Interest over time
Week,Online Games
2009-11-08 - 2009-11-14,+163%
2009-11-15 - 2009-11-21,+171%
2009-11-22 - 2009-11-28,+175%
2009-11-29 - 2009-12-05,+179%
2009-12-06 - 2009-12-12,+221%
2009-12-13 - 2009-12-19,+204%
2009-12-20 - 2009-12-26,+242%
2009-12-27 - 2010-01-02,+271%
2010-01-03 - 2010-01-09,+213%
2010-01-10 - 2010-01-16,+175%
2010-01-17 - 2010-01-23,+175%
2010-01-24 - 2010-01-30,+188%
2010-01-31 - 2010-02-06,+183%
2010-02-07 - 2010-02-13,+183%
2010-02-14 - 2010-02-20,+196%
2010-02-21 - 2010-02-27,+179%
2010-02-28 - 2010-03-06,+171%
2010-03-07 - 2010-03-13,+167%
2010-03-14 - 2010-03-20,+188%
2010-03-21 - 2010-03-27,+179%
2010-03-28 - 2010-04-03,+250%
2010-04-04 - 2010-04-10,+192%
2010-04-11 - 2010-04-17,+163%
2010-04-18 - 2010-04-24,+167%
2010-04-25 - 2010-05-01,+167%
2010-05-02 - 2010-05-08,+163%
2010-05-09 - 2010-05-15,+171%
2010-05-16 - 2010-05-22,+175%
2010-05-23 - 2010-05-29,+179%
2010-05-30 - 2010-06-05,+188%
2010-06-06 - 2010-06-12,+175%
2010-06-13 - 2010-06-19,+175%
2010-06-20 - 2010-06-26,+204%
2010-06-27 - 2010-07-03,+213%
2010-07-04 - 2010-07-10,+208%
2010-07-11 - 2010-07-17,+204%
2010-07-18 - 2010-07-24,+208%
2010-07-25 - 2010-07-31,+204%
2010-08-01 - 2010-08-07,+213%
2010-08-08 - 2010-08-14,+225%
2010-08-15 - 2010-08-21,+225%
2010-08-22 - 2010-08-28,+208%
2010-08-29 - 2010-09-04,+183%
2010-09-05 - 2010-09-11,+183%
2010-09-12 - 2010-09-18,+158%
2010-09-19 - 2010-09-25,+158%
2010-09-26 - 2010-10-02,+158%
2010-10-03 - 2010-10-09,+154%
2010-10-10 - 2010-10-16,+208%
2010-10-17 - 2010-10-23,+163%
2010-10-24 - 2010-10-30,+163%
2010-10-31 - 2010-11-06,+167%
2010-11-07 - 2010-11-13,+150%
2010-11-14 - 2010-11-20,+158%
2010-11-21 - 2010-11-27,+158%
2010-11-28 - 2010-12-04,+163%
2010-12-05 - 2010-12-11,+221%
2010-12-12 - 2010-12-18,+188%
2010-12-19 - 2010-12-25,+200%
2010-12-26 - 2011-01-01,+196%
2011-01-02 - 2011-01-08,+96%
2011-01-09 - 2011-01-15,+58%
2011-01-16 - 2011-01-22,+63%
2011-01-23 - 2011-01-29,+58%
2011-01-30 - 2011-02-05,+63%
2011-02-06 - 2011-02-12,+63%
2011-02-13 - 2011-02-19,+50%
2011-02-20 - 2011-02-26,+58%
2011-02-27 - 2011-03-05,+54%
2011-03-06 - 2011-03-12,+54%
2011-03-13 - 2011-03-19,+42%
2011-03-20 - 2011-03-26,+46%
2011-03-27 - 2011-04-02,+46%
2011-04-03 - 2011-04-09,+46%
2011-04-10 - 2011-04-16,+50%
2011-04-17 - 2011-04-23,+79%
2011-04-24 - 2011-04-30,+58%
2011-05-01 - 2011-05-07,+54%
2011-05-08 - 2011-05-14,+50%
2011-05-15 - 2011-05-21,+50%
2011-05-22 - 2011-05-28,+46%
2011-05-29 - 2011-06-04,+46%
2011-06-05 - 2011-06-11,+50%
2011-06-12 - 2011-06-18,+50%
2011-06-19 - 2011-06-25,+67%
2011-06-26 - 2011-07-02,+63%
2011-07-03 - 2011-07-09,+63%
2011-07-10 - 2011-07-16,+63%
2011-07-17 - 2011-07-23,+63%
2011-07-24 - 2011-07-30,+71%
2011-07-31 - 2011-08-06,+75%
2011-08-07 - 2011-08-13,+83%
2011-08-14 - 2011-08-20,+75%
2011-08-21 - 2011-08-27,+67%
2011-08-28 - 2011-09-03,+54%
2011-09-04 - 2011-09-10,+50%
2011-09-11 - 2011-09-17,+46%
2011-09-18 - 2011-09-24,+38%
2011-09-25 - 2011-10-01,+38%
2011-10-02 - 2011-10-08,+33%
2011-10-09 - 2011-10-15,+46%
2011-10-16 - 2011-10-22,+42%
2011-10-23 - 2011-10-29,+38%
2011-10-30 - 2011-11-05,+54%
2011-11-06 - 2011-11-12,+38%
2011-11-13 - 2011-11-19,+42%
2011-11-20 - 2011-11-26,+33%
2011-11-27 - 2011-12-03,+46%
2011-12-04 - 2011-12-10,+67%
2011-12-11 - 2011-12-17,+42%
2011-12-18 - 2011-12-24,+50%
2011-12-25 - 2011-12-31,+67%
2012-01-01 - 2012-01-07,+54%
2012-01-08 - 2012-01-14,+29%
2012-01-15 - 2012-01-21,+25%
2012-01-22 - 2012-01-28,+25%
2012-01-29 - 2012-02-04,+25%
2012-02-05 - 2012-02-11,+29%
2012-02-12 - 2012-02-18,+29%
2012-02-19 - 2012-02-25,+29%
2012-02-26 - 2012-03-03,+33%
2012-03-04 - 2012-03-10,+29%
2012-03-11 - 2012-03-17,+25%
2012-03-18 - 2012-03-24,+29%
2012-03-25 - 2012-03-31,+33%
2012-04-01 - 2012-04-07,+54%
2012-04-08 - 2012-04-14,+33%
2012-04-15 - 2012-04-21,+29%
2012-04-22 - 2012-04-28,+29%
2012-04-29 - 2012-05-05,+33%
2012-05-06 - 2012-05-12,+25%
2012-05-13 - 2012-05-19,+25%
2012-05-20 - 2012-05-26,+21%
2012-05-27 - 2012-06-02,+25%
2012-06-03 - 2012-06-09,+42%
2012-06-10 - 2012-06-16,+21%
2012-06-17 - 2012-06-23,+25%
2012-06-24 - 2012-06-30,+25%
2012-07-01 - 2012-07-07,+29%
2012-07-08 - 2012-07-14,+25%
2012-07-15 - 2012-07-21,+29%
2012-07-22 - 2012-07-28,+29%
2012-07-29 - 2012-08-04,+33%
2012-08-05 - 2012-08-11,+38%
2012-08-12 - 2012-08-18,+38%
2012-08-19 - 2012-08-25,+38%
2012-08-26 - 2012-09-01,+42%
2012-09-02 - 2012-09-08,+29%
2012-09-09 - 2012-09-15,+21%
2012-09-16 - 2012-09-22,+21%
2012-09-23 - 2012-09-29,+29%
2012-09-30 - 2012-10-06,+17%
2012-10-07 - 2012-10-13,+25%
2012-10-14 - 2012-10-20,+17%
2012-10-21 - 2012-10-27,+13%
2012-10-28 - 2012-11-03,+25%
2012-11-04 - 2012-11-10,+8%
2012-11-11 - 2012-11-17,+8%
2012-11-18 - 2012-11-24,+50%
2012-11-25 - 2012-12-01, 



Top searches
wow,100
jogos,45
games,20
mu,15
warcraft,15
metin2,15
wowhead,15
lineage,15
ben 10,10
wow europe,10
world of warcraft,10
jeux,10
jogos online,10
l2,10
lineage 2,10
online games,5
mmorpg,5
wow lista,5
mmo,5
aion,5



Rising searches
aion,Breakout
ben 10,Breakout
jogos online,Breakout
metin2,Breakout
mmo,Breakout
wow europe,Breakout
wow lista,Breakout
wowhead,Breakout
jogos,+2,400%
wow,+700%



