Web Search Interest
Portugal; 2004 - present

Interest over time
Week,Tobacco Products
2006-11-12 - 2006-11-18,-56%
2006-11-19 - 2006-11-25,-61%
2006-11-26 - 2006-12-02,-58%
2006-12-03 - 2006-12-09,-29%
2006-12-10 - 2006-12-16,-52%
2006-12-17 - 2006-12-23,-47%
2006-12-24 - 2006-12-30,-48%
2006-12-31 - 2007-01-06,-64%
2007-01-07 - 2007-01-13,-51%
2007-01-14 - 2007-01-20,-57%
2007-01-21 - 2007-01-27,-54%
2007-01-28 - 2007-02-03,-61%
2007-02-04 - 2007-02-10,-53%
2007-02-11 - 2007-02-17,-52%
2007-02-18 - 2007-02-24,-66%
2007-02-25 - 2007-03-03,-65%
2007-03-04 - 2007-03-10,-67%
2007-03-11 - 2007-03-17,-73%
2007-03-18 - 2007-03-24,-61%
2007-03-25 - 2007-03-31,-63%
2007-04-01 - 2007-04-07,-67%
2007-04-08 - 2007-04-14,-68%
2007-04-15 - 2007-04-21,-65%
2007-04-22 - 2007-04-28,-66%
2007-04-29 - 2007-05-05,-63%
2007-05-06 - 2007-05-12,-65%
2007-05-13 - 2007-05-19,-61%
2007-05-20 - 2007-05-26,-64%
2007-05-27 - 2007-06-02,-66%
2007-06-03 - 2007-06-09,-65%
2007-06-10 - 2007-06-16,-63%
2007-06-17 - 2007-06-23,-70%
2007-06-24 - 2007-06-30,-66%
2007-07-01 - 2007-07-07,-60%
2007-07-08 - 2007-07-14,-71%
2007-07-15 - 2007-07-21,-70%
2007-07-22 - 2007-07-28,-65%
2007-07-29 - 2007-08-04,-56%
2007-08-05 - 2007-08-11,-59%
2007-08-12 - 2007-08-18,-69%
2007-08-19 - 2007-08-25,-64%
2007-08-26 - 2007-09-01,-51%
2007-09-02 - 2007-09-08,-65%
2007-09-09 - 2007-09-15,-59%
2007-09-16 - 2007-09-22,-55%
2007-09-23 - 2007-09-29,-65%
2007-09-30 - 2007-10-06,-55%
2007-10-07 - 2007-10-13,-65%
2007-10-14 - 2007-10-20,-61%
2007-10-21 - 2007-10-27,-60%
2007-10-28 - 2007-11-03,-61%
2007-11-04 - 2007-11-10,-54%
2007-11-11 - 2007-11-17,-59%
2007-11-18 - 2007-11-24,-63%
2007-11-25 - 2007-12-01,-66%
2007-12-02 - 2007-12-08,-65%
2007-12-09 - 2007-12-15,-56%
2007-12-16 - 2007-12-22,-67%
2007-12-23 - 2007-12-29,-55%
2007-12-30 - 2008-01-05,-55%
2008-01-06 - 2008-01-12,-57%
2008-01-13 - 2008-01-19,-62%
2008-01-20 - 2008-01-26,-56%
2008-01-27 - 2008-02-02,-65%
2008-02-03 - 2008-02-09,-65%
2008-02-10 - 2008-02-16,-61%
2008-02-17 - 2008-02-23,-64%
2008-02-24 - 2008-03-01,-71%
2008-03-02 - 2008-03-08,-60%
2008-03-09 - 2008-03-15,-66%
2008-03-16 - 2008-03-22,-72%
2008-03-23 - 2008-03-29,-62%
2008-03-30 - 2008-04-05,-70%
2008-04-06 - 2008-04-12,-69%
2008-04-13 - 2008-04-19,-62%
2008-04-20 - 2008-04-26,-66%
2008-04-27 - 2008-05-03,-63%
2008-05-04 - 2008-05-10,-68%
2008-05-11 - 2008-05-17,-61%
2008-05-18 - 2008-05-24,-67%
2008-05-25 - 2008-05-31,-65%
2008-06-01 - 2008-06-07,-69%
2008-06-08 - 2008-06-14,-73%
2008-06-15 - 2008-06-21,-69%
2008-06-22 - 2008-06-28,-66%
2008-06-29 - 2008-07-05,-71%
2008-07-06 - 2008-07-12,-70%
2008-07-13 - 2008-07-19,-65%
2008-07-20 - 2008-07-26,-65%
2008-07-27 - 2008-08-02,-70%
2008-08-03 - 2008-08-09,-73%
2008-08-10 - 2008-08-16,-64%
2008-08-17 - 2008-08-23,-71%
2008-08-24 - 2008-08-30,-59%
2008-08-31 - 2008-09-06,-64%
2008-09-07 - 2008-09-13,-71%
2008-09-14 - 2008-09-20,-64%
2008-09-21 - 2008-09-27,-70%
2008-09-28 - 2008-10-04,-67%
2008-10-05 - 2008-10-11,-71%
2008-10-12 - 2008-10-18,-65%
2008-10-19 - 2008-10-25,-71%
2008-10-26 - 2008-11-01,-71%
2008-11-02 - 2008-11-08,-71%
2008-11-09 - 2008-11-15,-66%
2008-11-16 - 2008-11-22,-64%
2008-11-23 - 2008-11-29,-63%
2008-11-30 - 2008-12-06,-61%
2008-12-07 - 2008-12-13,-58%
2008-12-14 - 2008-12-20,-66%
2008-12-21 - 2008-12-27,-65%
2008-12-28 - 2009-01-03,-68%
2009-01-04 - 2009-01-10,-61%
2009-01-11 - 2009-01-17,-63%
2009-01-18 - 2009-01-24,-70%
2009-01-25 - 2009-01-31,-63%
2009-02-01 - 2009-02-07,-68%
2009-02-08 - 2009-02-14,-65%
2009-02-15 - 2009-02-21,-63%
2009-02-22 - 2009-02-28,-66%
2009-03-01 - 2009-03-07,-63%
2009-03-08 - 2009-03-14,-70%
2009-03-15 - 2009-03-21,-70%
2009-03-22 - 2009-03-28,-65%
2009-03-29 - 2009-04-04,-70%
2009-04-05 - 2009-04-11,-67%
2009-04-12 - 2009-04-18,-66%
2009-04-19 - 2009-04-25,-61%
2009-04-26 - 2009-05-02,-66%
2009-05-03 - 2009-05-09,-65%
2009-05-10 - 2009-05-16,-60%
2009-05-17 - 2009-05-23,-62%
2009-05-24 - 2009-05-30,-62%
2009-05-31 - 2009-06-06,-66%
2009-06-07 - 2009-06-13,-67%
2009-06-14 - 2009-06-20,-71%
2009-06-21 - 2009-06-27,-64%
2009-06-28 - 2009-07-04,-67%
2009-07-05 - 2009-07-11,-68%
2009-07-12 - 2009-07-18,-63%
2009-07-19 - 2009-07-25,-69%
2009-07-26 - 2009-08-01,-65%
2009-08-02 - 2009-08-08,-64%
2009-08-09 - 2009-08-15,-61%
2009-08-16 - 2009-08-22,-64%
2009-08-23 - 2009-08-29,-63%
2009-08-30 - 2009-09-05,-65%
2009-09-06 - 2009-09-12,-69%
2009-09-13 - 2009-09-19,-61%
2009-09-20 - 2009-09-26,-72%
2009-09-27 - 2009-10-03,-63%
2009-10-04 - 2009-10-10,-65%
2009-10-11 - 2009-10-17,-62%
2009-10-18 - 2009-10-24,-64%
2009-10-25 - 2009-10-31,-64%
2009-11-01 - 2009-11-07,-68%
2009-11-08 - 2009-11-14,-59%
2009-11-15 - 2009-11-21,-61%
2009-11-22 - 2009-11-28,-61%
2009-11-29 - 2009-12-05,-57%
2009-12-06 - 2009-12-12,-64%
2009-12-13 - 2009-12-19,-60%
2009-12-20 - 2009-12-26,-61%
2009-12-27 - 2010-01-02,-58%
2010-01-03 - 2010-01-09,-65%
2010-01-10 - 2010-01-16,-56%
