Web Search Interest
Hong Kong; 2004 - present

Interest over time
Week,Shopping Portals & Search Engines
2009-11-01 - 2009-11-07,+208%
2009-11-08 - 2009-11-14,+192%
2009-11-15 - 2009-11-21,+200%
2009-11-22 - 2009-11-28,+208%
2009-11-29 - 2009-12-05,+238%
2009-12-06 - 2009-12-12,+231%
2009-12-13 - 2009-12-19,+223%
2009-12-20 - 2009-12-26,+223%
2009-12-27 - 2010-01-02,+254%
2010-01-03 - 2010-01-09,+223%
2010-01-10 - 2010-01-16,+277%
2010-01-17 - 2010-01-23,+262%
2010-01-24 - 2010-01-30,+192%
2010-01-31 - 2010-02-06,+231%
2010-02-07 - 2010-02-13,+200%
2010-02-14 - 2010-02-20,+185%
2010-02-21 - 2010-02-27,+238%
2010-02-28 - 2010-03-06,+262%
2010-03-07 - 2010-03-13,+238%
2010-03-14 - 2010-03-20,+231%
2010-03-21 - 2010-03-27,+177%
2010-03-28 - 2010-04-03,+223%
2010-04-04 - 2010-04-10,+231%
2010-04-11 - 2010-04-17,+238%
2010-04-18 - 2010-04-24,+254%
2010-04-25 - 2010-05-01,+246%
2010-05-02 - 2010-05-08,+223%
2010-05-09 - 2010-05-15,+277%
2010-05-16 - 2010-05-22,+254%
2010-05-23 - 2010-05-29,+215%
2010-05-30 - 2010-06-05,+262%
2010-06-06 - 2010-06-12,+223%
2010-06-13 - 2010-06-19,+246%
2010-06-20 - 2010-06-26,+246%
2010-06-27 - 2010-07-03,+208%
2010-07-04 - 2010-07-10,+254%
2010-07-11 - 2010-07-17,+223%
2010-07-18 - 2010-07-24,+277%
2010-07-25 - 2010-07-31,+238%
2010-08-01 - 2010-08-07,+238%
2010-08-08 - 2010-08-14,+300%
2010-08-15 - 2010-08-21,+315%
2010-08-22 - 2010-08-28,+269%
2010-08-29 - 2010-09-04,+277%
2010-09-05 - 2010-09-11,+354%
2010-09-12 - 2010-09-18,+285%
2010-09-19 - 2010-09-25,+277%
2010-09-26 - 2010-10-02,+300%
2010-10-03 - 2010-10-09,+277%
2010-10-10 - 2010-10-16,+292%
2010-10-17 - 2010-10-23,+269%
2010-10-24 - 2010-10-30,+323%
2010-10-31 - 2010-11-06,+338%
2010-11-07 - 2010-11-13,+362%
2010-11-14 - 2010-11-20,+323%
2010-11-21 - 2010-11-27,+346%
2010-11-28 - 2010-12-04,+354%
2010-12-05 - 2010-12-11,+385%
2010-12-12 - 2010-12-18,+392%
2010-12-19 - 2010-12-25,+354%
2010-12-26 - 2011-01-01,+477%
2011-01-02 - 2011-01-08,+446%
2011-01-09 - 2011-01-15,+485%
2011-01-16 - 2011-01-22,+477%
2011-01-23 - 2011-01-29,+392%
2011-01-30 - 2011-02-05,+292%
2011-02-06 - 2011-02-12,+308%
2011-02-13 - 2011-02-19,+354%
2011-02-20 - 2011-02-26,+400%
2011-02-27 - 2011-03-05,+369%
2011-03-06 - 2011-03-12,+369%
2011-03-13 - 2011-03-19,+369%
2011-03-20 - 2011-03-26,+346%
2011-03-27 - 2011-04-02,+415%
2011-04-03 - 2011-04-09,+408%
2011-04-10 - 2011-04-16,+346%
2011-04-17 - 2011-04-23,+346%
2011-04-24 - 2011-04-30,+385%
2011-05-01 - 2011-05-07,+338%
2011-05-08 - 2011-05-14,+369%
2011-05-15 - 2011-05-21,+354%
2011-05-22 - 2011-05-28,+346%
2011-05-29 - 2011-06-04,+346%
2011-06-05 - 2011-06-11,+362%
2011-06-12 - 2011-06-18,+431%
2011-06-19 - 2011-06-25,+408%
2011-06-26 - 2011-07-02,+454%
2011-07-03 - 2011-07-09,+408%
2011-07-10 - 2011-07-16,+377%
2011-07-17 - 2011-07-23,+408%
2011-07-24 - 2011-07-30,+500%
2011-07-31 - 2011-08-06,+477%
2011-08-07 - 2011-08-13,+462%
2011-08-14 - 2011-08-20,+477%
2011-08-21 - 2011-08-27,+454%
2011-08-28 - 2011-09-03,+500%
2011-09-04 - 2011-09-10,+469%
2011-09-11 - 2011-09-17,+469%
2011-09-18 - 2011-09-24,+546%
2011-09-25 - 2011-10-01,+492%
2011-10-02 - 2011-10-08,+485%
2011-10-09 - 2011-10-15,+508%
2011-10-16 - 2011-10-22,+469%
2011-10-23 - 2011-10-29,+492%
2011-10-30 - 2011-11-05,+454%
2011-11-06 - 2011-11-12,+500%
2011-11-13 - 2011-11-19,+515%
2011-11-20 - 2011-11-26,+546%
2011-11-27 - 2011-12-03,+508%
2011-12-04 - 2011-12-10,+531%
2011-12-11 - 2011-12-17,+592%
2011-12-18 - 2011-12-24,+508%
2011-12-25 - 2011-12-31,+531%
2012-01-01 - 2012-01-07,+523%
2012-01-08 - 2012-01-14,+515%
2012-01-15 - 2012-01-21,+369%
2012-01-22 - 2012-01-28,+377%
2012-01-29 - 2012-02-04,+492%
2012-02-05 - 2012-02-11,+469%
2012-02-12 - 2012-02-18,+469%
2012-02-19 - 2012-02-25,+515%
2012-02-26 - 2012-03-03,+469%
2012-03-04 - 2012-03-10,+446%
2012-03-11 - 2012-03-17,+462%
2012-03-18 - 2012-03-24,+469%
2012-03-25 - 2012-03-31,+477%
2012-04-01 - 2012-04-07,+562%
2012-04-08 - 2012-04-14,+523%
2012-04-15 - 2012-04-21,+500%
2012-04-22 - 2012-04-28,+515%
2012-04-29 - 2012-05-05,+538%
2012-05-06 - 2012-05-12,+531%
2012-05-13 - 2012-05-19,+546%
2012-05-20 - 2012-05-26,+577%
2012-05-27 - 2012-06-02,+546%
2012-06-03 - 2012-06-09,+523%
2012-06-10 - 2012-06-16,+569%
2012-06-17 - 2012-06-23,+531%
2012-06-24 - 2012-06-30,+500%
2012-07-01 - 2012-07-07,+508%
2012-07-08 - 2012-07-14,+492%
2012-07-15 - 2012-07-21,+469%
2012-07-22 - 2012-07-28,+485%
2012-07-29 - 2012-08-04,+477%
2012-08-05 - 2012-08-11,+477%
2012-08-12 - 2012-08-18,+477%
2012-08-19 - 2012-08-25,+500%
2012-08-26 - 2012-09-01,+531%
2012-09-02 - 2012-09-08,+431%
2012-09-09 - 2012-09-15,+431%
2012-09-16 - 2012-09-22,+446%
2012-09-23 - 2012-09-29,+477%
2012-09-30 - 2012-10-06,+462%
2012-10-07 - 2012-10-13,+515%
2012-10-14 - 2012-10-20,+508%
2012-10-21 - 2012-10-27,+562%
2012-10-28 - 2012-11-03,+477%
2012-11-04 - 2012-11-10,+554%
2012-11-11 - 2012-11-17,+615%
2012-11-18 - 2012-11-24,+669%
2012-11-25 - 2012-12-01, 



Top searches
taobao,100
淘宝,45
淘宝网,25
阿里,5
阿里巴巴,5
购物,5
tao bao,5
tao,5
taobao 淘宝,5
taobo,5
商城,5
scholar,5
hk taobao,0
scholar google,0
taobao 淘宝网,0
藥房,0
网购,0
e-bay,0
淘宝商城,0
寒蟬,0



Rising searches
scholar,Breakout
tao,Breakout
tao bao,Breakout
taobao,Breakout
taobao 淘宝,Breakout
taobo,Breakout
商城,Breakout
淘宝,Breakout
淘宝网,Breakout
购物,Breakout



