Web Search Interest
United States; 2004 - present

Interest over time
Week,Online Goodies
2005-04-03 - 2005-04-09,-11%
2005-04-10 - 2005-04-16,-19%
2005-04-17 - 2005-04-23,-16%
2005-04-24 - 2005-04-30,-8%
2005-05-01 - 2005-05-07,-11%
2005-05-08 - 2005-05-14,-11%
2005-05-15 - 2005-05-21,-11%
2005-05-22 - 2005-05-28,-11%
2005-05-29 - 2005-06-04,-8%
2005-06-05 - 2005-06-11,-11%
2005-06-12 - 2005-06-18,-8%
2005-06-19 - 2005-06-25,-11%
2005-06-26 - 2005-07-02,-5%
2005-07-03 - 2005-07-09,-8%
2005-07-10 - 2005-07-16,-5%
2005-07-17 - 2005-07-23,-8%
2005-07-24 - 2005-07-30,-5%
2005-07-31 - 2005-08-06,+0%
2005-08-07 - 2005-08-13,+0%
2005-08-14 - 2005-08-20,+3%
2005-08-21 - 2005-08-27,+8%
2005-08-28 - 2005-09-03,+3%
2005-09-04 - 2005-09-10,+5%
2005-09-11 - 2005-09-17,+14%
2005-09-18 - 2005-09-24,+3%
2005-09-25 - 2005-10-01,+5%
2005-10-02 - 2005-10-08,+11%
2005-10-09 - 2005-10-15,+16%
2005-10-16 - 2005-10-22,+11%
2005-10-23 - 2005-10-29,+16%
2005-10-30 - 2005-11-05,+24%
2005-11-06 - 2005-11-12,+24%
2005-11-13 - 2005-11-19,+22%
2005-11-20 - 2005-11-26,+38%
2005-11-27 - 2005-12-03,+30%
2005-12-04 - 2005-12-10,+32%
2005-12-11 - 2005-12-17,+38%
2005-12-18 - 2005-12-24,+51%
2005-12-25 - 2005-12-31,+46%
2006-01-01 - 2006-01-07,+43%
2006-01-08 - 2006-01-14,+35%
2006-01-15 - 2006-01-21,+43%
2006-01-22 - 2006-01-28,+41%
2006-01-29 - 2006-02-04,+49%
2006-02-05 - 2006-02-11,+46%
2006-02-12 - 2006-02-18,+62%
2006-02-19 - 2006-02-25,+57%
2006-02-26 - 2006-03-04,+51%
2006-03-05 - 2006-03-11,+70%
2006-03-12 - 2006-03-18,+54%
2006-03-19 - 2006-03-25,+62%
2006-03-26 - 2006-04-01,+68%
2006-04-02 - 2006-04-08,+68%
2006-04-09 - 2006-04-15,+73%
2006-04-16 - 2006-04-22,+76%
2006-04-23 - 2006-04-29,+70%
2006-04-30 - 2006-05-06,+62%
2006-05-07 - 2006-05-13,+76%
2006-05-14 - 2006-05-20,+76%
2006-05-21 - 2006-05-27,+78%
2006-05-28 - 2006-06-03,+92%
2006-06-04 - 2006-06-10,+97%
2006-06-11 - 2006-06-17,+97%
2006-06-18 - 2006-06-24,+103%
2006-06-25 - 2006-07-01,+105%
2006-07-02 - 2006-07-08,+108%
2006-07-09 - 2006-07-15,+103%
2006-07-16 - 2006-07-22,+103%
2006-07-23 - 2006-07-29,+124%
2006-07-30 - 2006-08-05,+114%
2006-08-06 - 2006-08-12,+111%
2006-08-13 - 2006-08-19,+105%
2006-08-20 - 2006-08-26,+111%
2006-08-27 - 2006-09-02,+111%
2006-09-03 - 2006-09-09,+119%
2006-09-10 - 2006-09-16,+111%
2006-09-17 - 2006-09-23,+103%
2006-09-24 - 2006-09-30,+103%
2006-10-01 - 2006-10-07,+108%
2006-10-08 - 2006-10-14,+114%
2006-10-15 - 2006-10-21,+111%
2006-10-22 - 2006-10-28,+105%
2006-10-29 - 2006-11-04,+114%
2006-11-05 - 2006-11-11,+114%
2006-11-12 - 2006-11-18,+108%
2006-11-19 - 2006-11-25,+151%
2006-11-26 - 2006-12-02,+119%
2006-12-03 - 2006-12-09,+127%
2006-12-10 - 2006-12-16,+122%
2006-12-17 - 2006-12-23,+138%
2006-12-24 - 2006-12-30,+170%
2006-12-31 - 2007-01-06,+132%
2007-01-07 - 2007-01-13,+119%
2007-01-14 - 2007-01-20,+124%
2007-01-21 - 2007-01-27,+119%
2007-01-28 - 2007-02-03,+119%
2007-02-04 - 2007-02-10,+119%
2007-02-11 - 2007-02-17,+132%
2007-02-18 - 2007-02-24,+127%
2007-02-25 - 2007-03-03,+111%
2007-03-04 - 2007-03-10,+116%
2007-03-11 - 2007-03-17,+122%
2007-03-18 - 2007-03-24,+119%
2007-03-25 - 2007-03-31,+119%
2007-04-01 - 2007-04-07,+135%
2007-04-08 - 2007-04-14,+132%
2007-04-15 - 2007-04-21,+130%
2007-04-22 - 2007-04-28,+122%
2007-04-29 - 2007-05-05,+122%
2007-05-06 - 2007-05-12,+119%
2007-05-13 - 2007-05-19,+127%
2007-05-20 - 2007-05-26,+130%
2007-05-27 - 2007-06-02,+138%
2007-06-03 - 2007-06-09,+135%
2007-06-10 - 2007-06-16,+143%
2007-06-17 - 2007-06-23,+146%
2007-06-24 - 2007-06-30,+149%
2007-07-01 - 2007-07-07,+157%
2007-07-08 - 2007-07-14,+149%
2007-07-15 - 2007-07-21,+149%
2007-07-22 - 2007-07-28,+149%
2007-07-29 - 2007-08-04,+151%
2007-08-05 - 2007-08-11,+141%
2007-08-12 - 2007-08-18,+132%
2007-08-19 - 2007-08-25,+135%
2007-08-26 - 2007-09-01,+119%
2007-09-02 - 2007-09-08,+119%
2007-09-09 - 2007-09-15,+114%
2007-09-16 - 2007-09-22,+111%
2007-09-23 - 2007-09-29,+114%
2007-09-30 - 2007-10-06,+108%
2007-10-07 - 2007-10-13,+100%
2007-10-14 - 2007-10-20,+103%
2007-10-21 - 2007-10-27,+108%
2007-10-28 - 2007-11-03,+114%
2007-11-04 - 2007-11-10,+114%
2007-11-11 - 2007-11-17,+103%
2007-11-18 - 2007-11-24,+143%
2007-11-25 - 2007-12-01,+114%
2007-12-02 - 2007-12-08,+119%
2007-12-09 - 2007-12-15,+116%
2007-12-16 - 2007-12-22,+122%
2007-12-23 - 2007-12-29,+157%
2007-12-30 - 2008-01-05,+135%
2008-01-06 - 2008-01-12,+97%
2008-01-13 - 2008-01-19,+103%
2008-01-20 - 2008-01-26,+105%
2008-01-27 - 2008-02-02,+97%
2008-02-03 - 2008-02-09,+89%
2008-02-10 - 2008-02-16,+103%
2008-02-17 - 2008-02-23,+97%
2008-02-24 - 2008-03-01,+95%
2008-03-02 - 2008-03-08,+97%
2008-03-09 - 2008-03-15,+97%
2008-03-16 - 2008-03-22,+105%
2008-03-23 - 2008-03-29,+103%
2008-03-30 - 2008-04-05,+97%
2008-04-06 - 2008-04-12,+97%
2008-04-13 - 2008-04-19,+89%
2008-04-20 - 2008-04-26,+92%
2008-04-27 - 2008-05-03,+86%
2008-05-04 - 2008-05-10,+89%
2008-05-11 - 2008-05-17,+95%
2008-05-18 - 2008-05-24,+95%
2008-05-25 - 2008-05-31,+100%
2008-06-01 - 2008-06-07,+103%
2008-06-08 - 2008-06-14,+111%
2008-06-15 - 2008-06-21,+114%
2008-06-22 - 2008-06-28,+114%
2008-06-29 - 2008-07-05,+116%
2008-07-06 - 2008-07-12,+114%
2008-07-13 - 2008-07-19,+111%
2008-07-20 - 2008-07-26,+114%
2008-07-27 - 2008-08-02,+116%
2008-08-03 - 2008-08-09,+111%
2008-08-10 - 2008-08-16,+108%
2008-08-17 - 2008-08-23,+103%
2008-08-24 - 2008-08-30,+103%
2008-08-31 - 2008-09-06,+103%
2008-09-07 - 2008-09-13,+97%
2008-09-14 - 2008-09-20,+89%
2008-09-21 - 2008-09-27,+92%
2008-09-28 - 2008-10-04,+92%
2008-10-05 - 2008-10-11,+86%
2008-10-12 - 2008-10-18,+92%
2008-10-19 - 2008-10-25,+84%
2008-10-26 - 2008-11-01,+84%
2008-11-02 - 2008-11-08,+84%
2008-11-09 - 2008-11-15,+86%
2008-11-16 - 2008-11-22,+89%
2008-11-23 - 2008-11-29,+105%
2008-11-30 - 2008-12-06,+89%
2008-12-07 - 2008-12-13,+78%
2008-12-14 - 2008-12-20,+86%
2008-12-21 - 2008-12-27,+119%
2008-12-28 - 2009-01-03,+108%
2009-01-04 - 2009-01-10,+78%
2009-01-11 - 2009-01-17,+76%
2009-01-18 - 2009-01-24,+81%
2009-01-25 - 2009-01-31,+70%
2009-02-01 - 2009-02-07,+68%
2009-02-08 - 2009-02-14,+59%
2009-02-15 - 2009-02-21,+65%
2009-02-22 - 2009-02-28,+68%
2009-03-01 - 2009-03-07,+62%
2009-03-08 - 2009-03-14,+62%
2009-03-15 - 2009-03-21,+57%
2009-03-22 - 2009-03-28,+59%
2009-03-29 - 2009-04-04,+57%
2009-04-05 - 2009-04-11,+62%
2009-04-12 - 2009-04-18,+62%
2009-04-19 - 2009-04-25,+51%
2009-04-26 - 2009-05-02,+46%
2009-05-03 - 2009-05-09,+46%
2009-05-10 - 2009-05-16,+49%
2009-05-17 - 2009-05-23,+46%
2009-05-24 - 2009-05-30,+51%
2009-05-31 - 2009-06-06,+57%
2009-06-07 - 2009-06-13,+54%
2009-06-14 - 2009-06-20,+57%
2009-06-21 - 2009-06-27,+54%
2009-06-28 - 2009-07-04,+57%
2009-07-05 - 2009-07-11,+49%
2009-07-12 - 2009-07-18,+51%
2009-07-19 - 2009-07-25,+51%
2009-07-26 - 2009-08-01,+49%
2009-08-02 - 2009-08-08,+54%
2009-08-09 - 2009-08-15,+46%
2009-08-16 - 2009-08-22,+46%
2009-08-23 - 2009-08-29,+35%
2009-08-30 - 2009-09-05,+30%
2009-09-06 - 2009-09-12,+30%
2009-09-13 - 2009-09-19,+27%
2009-09-20 - 2009-09-26,+22%
2009-09-27 - 2009-10-03,+19%
2009-10-04 - 2009-10-10,+16%
2009-10-11 - 2009-10-17,+19%
2009-10-18 - 2009-10-24,+16%
2009-10-25 - 2009-10-31,+16%
2009-11-01 - 2009-11-07,+19%
2009-11-08 - 2009-11-14,+16%
2009-11-15 - 2009-11-21,+14%
2009-11-22 - 2009-11-28,+30%
2009-11-29 - 2009-12-05,+16%
2009-12-06 - 2009-12-12,+16%
2009-12-13 - 2009-12-19,+16%
2009-12-20 - 2009-12-26,+32%
2009-12-27 - 2010-01-02,+32%
2010-01-03 - 2010-01-09,+14%
2010-01-10 - 2010-01-16,+8%
2010-01-17 - 2010-01-23,+11%
2010-01-24 - 2010-01-30,+8%
2010-01-31 - 2010-02-06,+11%
2010-02-07 - 2010-02-13,+5%
2010-02-14 - 2010-02-20,+3%
2010-02-21 - 2010-02-27,+0%
2010-02-28 - 2010-03-06,+0%
2010-03-07 - 2010-03-13,-3%
2010-03-14 - 2010-03-20,+0%
2010-03-21 - 2010-03-27,+0%
2010-03-28 - 2010-04-03,+0%
2010-04-04 - 2010-04-10,-3%
2010-04-11 - 2010-04-17,-5%
2010-04-18 - 2010-04-24,-5%
2010-04-25 - 2010-05-01,-11%
2010-05-02 - 2010-05-08,-11%
2010-05-09 - 2010-05-15,-8%
2010-05-16 - 2010-05-22,-8%
2010-05-23 - 2010-05-29,-8%
2010-05-30 - 2010-06-05,-8%
2010-06-06 - 2010-06-12,-14%
2010-06-13 - 2010-06-19,-11%
2010-06-20 - 2010-06-26,-14%
2010-06-27 - 2010-07-03,-11%
2010-07-04 - 2010-07-10,+0%
2010-07-11 - 2010-07-17,-5%
2010-07-18 - 2010-07-24,-3%
2010-07-25 - 2010-07-31,-8%
2010-08-01 - 2010-08-07,-11%
2010-08-08 - 2010-08-14,-11%
2010-08-15 - 2010-08-21,-16%
2010-08-22 - 2010-08-28,-16%
2010-08-29 - 2010-09-04,-19%
2010-09-05 - 2010-09-11,-16%
2010-09-12 - 2010-09-18,-22%
2010-09-19 - 2010-09-25,-24%
2010-09-26 - 2010-10-02,-24%
2010-10-03 - 2010-10-09,-27%
2010-10-10 - 2010-10-16,-24%
2010-10-17 - 2010-10-23,-27%
2010-10-24 - 2010-10-30,-27%
2010-10-31 - 2010-11-06,-30%
2010-11-07 - 2010-11-13,-30%
2010-11-14 - 2010-11-20,-32%
2010-11-21 - 2010-11-27,-30%
2010-11-28 - 2010-12-04,-32%
2010-12-05 - 2010-12-11,-32%
2010-12-12 - 2010-12-18,-32%
2010-12-19 - 2010-12-25,-27%
2010-12-26 - 2011-01-01,-32%
2011-01-02 - 2011-01-08,-43%
2011-01-09 - 2011-01-15,-46%
2011-01-16 - 2011-01-22,-46%
2011-01-23 - 2011-01-29,-46%
2011-01-30 - 2011-02-05,-46%
2011-02-06 - 2011-02-12,-49%
2011-02-13 - 2011-02-19,-49%
2011-02-20 - 2011-02-26,-49%
2011-02-27 - 2011-03-05,-49%
2011-03-06 - 2011-03-12,-49%
2011-03-13 - 2011-03-19,-51%
2011-03-20 - 2011-03-26,-51%
2011-03-27 - 2011-04-02,-51%
2011-04-03 - 2011-04-09,-54%
2011-04-10 - 2011-04-16,-51%
2011-04-17 - 2011-04-23,-49%
2011-04-24 - 2011-04-30,-51%
2011-05-01 - 2011-05-07,-51%
2011-05-08 - 2011-05-14,-54%
2011-05-15 - 2011-05-21,-54%
2011-05-22 - 2011-05-28,-54%
2011-05-29 - 2011-06-04,-54%
2011-06-05 - 2011-06-11,-54%
2011-06-12 - 2011-06-18,-54%
2011-06-19 - 2011-06-25,-54%
2011-06-26 - 2011-07-02,-54%
2011-07-03 - 2011-07-09,-57%
2011-07-10 - 2011-07-16,-54%
2011-07-17 - 2011-07-23,-54%
2011-07-24 - 2011-07-30,-57%
2011-07-31 - 2011-08-06,-54%
2011-08-07 - 2011-08-13,-54%
2011-08-14 - 2011-08-20,-54%
2011-08-21 - 2011-08-27,-54%
2011-08-28 - 2011-09-03,-57%
2011-09-04 - 2011-09-10,-54%
2011-09-11 - 2011-09-17,-54%
2011-09-18 - 2011-09-24,-51%
2011-09-25 - 2011-10-01,-54%
2011-10-02 - 2011-10-08,-54%
2011-10-09 - 2011-10-15,-54%
2011-10-16 - 2011-10-22,-54%
2011-10-23 - 2011-10-29,-57%
2011-10-30 - 2011-11-05,-54%
2011-11-06 - 2011-11-12,-54%
2011-11-13 - 2011-11-19,-54%
2011-11-20 - 2011-11-26,-54%
2011-11-27 - 2011-12-03,-51%
2011-12-04 - 2011-12-10,-51%
2011-12-11 - 2011-12-17,-54%
2011-12-18 - 2011-12-24,-54%
2011-12-25 - 2011-12-31,-51%
2012-01-01 - 2012-01-07,-54%
2012-01-08 - 2012-01-14,-54%
2012-01-15 - 2012-01-21,-54%
2012-01-22 - 2012-01-28,-54%
2012-01-29 - 2012-02-04,-54%
2012-02-05 - 2012-02-11,-54%
2012-02-12 - 2012-02-18,-54%
2012-02-19 - 2012-02-25,-54%
2012-02-26 - 2012-03-03,-57%
2012-03-04 - 2012-03-10,-57%
2012-03-11 - 2012-03-17,-54%
2012-03-18 - 2012-03-24,-57%
2012-03-25 - 2012-03-31,-57%
2012-04-01 - 2012-04-07,-57%
2012-04-08 - 2012-04-14,-57%
2012-04-15 - 2012-04-21,-54%
2012-04-22 - 2012-04-28,-54%
2012-04-29 - 2012-05-05,-54%
2012-05-06 - 2012-05-12,-54%
2012-05-13 - 2012-05-19,-54%
2012-05-20 - 2012-05-26,-57%
2012-05-27 - 2012-06-02,-57%
2012-06-03 - 2012-06-09,-57%
2012-06-10 - 2012-06-16,-57%
2012-06-17 - 2012-06-23,-57%
2012-06-24 - 2012-06-30,-59%
2012-07-01 - 2012-07-07,-57%
2012-07-08 - 2012-07-14,-57%
2012-07-15 - 2012-07-21,-57%
2012-07-22 - 2012-07-28,-57%
2012-07-29 - 2012-08-04,-57%
2012-08-05 - 2012-08-11,-59%
2012-08-12 - 2012-08-18,-57%
2012-08-19 - 2012-08-25,-57%
2012-08-26 - 2012-09-01,-59%
2012-09-02 - 2012-09-08,-59%
2012-09-09 - 2012-09-15,-57%
2012-09-16 - 2012-09-22,-57%
2012-09-23 - 2012-09-29,-57%
2012-09-30 - 2012-10-06,-57%
2012-10-07 - 2012-10-13,-57%
2012-10-14 - 2012-10-20,-57%
2012-10-21 - 2012-10-27,-57%
2012-10-28 - 2012-11-03,-57%
2012-11-04 - 2012-11-10,-59%
2012-11-11 - 2012-11-17,-57%
2012-11-18 - 2012-11-24,-57%
2012-11-25 - 2012-12-01, 



Top searches
myspace,100
layouts,20
myspace layouts,15
wallpaper,10
my space,10
clip art,10
backgrounds,5
orkut,5
comments,5
icons,5
graphics,5
wallpapers,5
clipart,5
background,5
desktop,5
myspace comments,5
icon,5
themes,5
twitter,5
gif,5



Rising searches
comments,Breakout
myspace backgrounds,Breakout
myspace comments,Breakout
myspace graphics,Breakout
myspace layout,Breakout
myspace layouts,Breakout
twitter,Breakout
myspace codes,+4,900%
myspace,+3,900%
layouts,+1,700%



