Web Search Interest
France; 2004 - present

Interest over time
Week,Sports News
2006-12-03 - 2006-12-09,+73%
2006-12-10 - 2006-12-16,+73%
2006-12-17 - 2006-12-23,+60%
2006-12-24 - 2006-12-30,+37%
2006-12-31 - 2007-01-06,+37%
2007-01-07 - 2007-01-13,+40%
2007-01-14 - 2007-01-20,+50%
2007-01-21 - 2007-01-27,+50%
2007-01-28 - 2007-02-03,+50%
2007-02-04 - 2007-02-10,+50%
2007-02-11 - 2007-02-17,+50%
2007-02-18 - 2007-02-24,+80%
2007-02-25 - 2007-03-03,+57%
2007-03-04 - 2007-03-10,+103%
2007-03-11 - 2007-03-17,+57%
2007-03-18 - 2007-03-24,+50%
2007-03-25 - 2007-03-31,+53%
2007-04-01 - 2007-04-07,+70%
2007-04-08 - 2007-04-14,+103%
2007-04-15 - 2007-04-21,+63%
2007-04-22 - 2007-04-28,+80%
2007-04-29 - 2007-05-05,+83%
2007-05-06 - 2007-05-12,+67%
2007-05-13 - 2007-05-19,+73%
2007-05-20 - 2007-05-26,+77%
2007-05-27 - 2007-06-02,+63%
2007-06-03 - 2007-06-09,+63%
2007-06-10 - 2007-06-16,+57%
2007-06-17 - 2007-06-23,+53%
2007-06-24 - 2007-06-30,+47%
2007-07-01 - 2007-07-07,+43%
2007-07-08 - 2007-07-14,+53%
2007-07-15 - 2007-07-21,+47%
2007-07-22 - 2007-07-28,+57%
2007-07-29 - 2007-08-04,+60%
2007-08-05 - 2007-08-11,+63%
2007-08-12 - 2007-08-18,+73%
2007-08-19 - 2007-08-25,+53%
2007-08-26 - 2007-09-01,+120%
2007-09-02 - 2007-09-08,+73%
2007-09-09 - 2007-09-15,+73%
2007-09-16 - 2007-09-22,+93%
2007-09-23 - 2007-09-29,+57%
2007-09-30 - 2007-10-06,+100%
2007-10-07 - 2007-10-13,+53%
2007-10-14 - 2007-10-20,+47%
2007-10-21 - 2007-10-27,+70%
2007-10-28 - 2007-11-03,+63%
2007-11-04 - 2007-11-10,+77%
2007-11-11 - 2007-11-17,+50%
2007-11-18 - 2007-11-24,+47%
2007-11-25 - 2007-12-01,+80%
2007-12-02 - 2007-12-08,+60%
2007-12-09 - 2007-12-15,+83%
2007-12-16 - 2007-12-22,+140%
2007-12-23 - 2007-12-29,+60%
2007-12-30 - 2008-01-05,+47%
2008-01-06 - 2008-01-12,+50%
2008-01-13 - 2008-01-19,+57%
2008-01-20 - 2008-01-26,+93%
2008-01-27 - 2008-02-02,+77%
2008-02-03 - 2008-02-09,+63%
2008-02-10 - 2008-02-16,+63%
2008-02-17 - 2008-02-23,+110%
2008-02-24 - 2008-03-01,+60%
2008-03-02 - 2008-03-08,+103%
2008-03-09 - 2008-03-15,+67%
2008-03-16 - 2008-03-22,+67%
2008-03-23 - 2008-03-29,+70%
2008-03-30 - 2008-04-05,+90%
2008-04-06 - 2008-04-12,+93%
2008-04-13 - 2008-04-19,+77%
2008-04-20 - 2008-04-26,+87%
2008-04-27 - 2008-05-03,+103%
2008-05-04 - 2008-05-10,+83%
2008-05-11 - 2008-05-17,+87%
2008-05-18 - 2008-05-24,+113%
2008-05-25 - 2008-05-31,+90%
2008-06-01 - 2008-06-07,+107%
2008-06-08 - 2008-06-14,+137%
2008-06-15 - 2008-06-21,+127%
2008-06-22 - 2008-06-28,+90%
2008-06-29 - 2008-07-05,+67%
2008-07-06 - 2008-07-12,+67%
2008-07-13 - 2008-07-19,+83%
2008-07-20 - 2008-07-26,+70%
2008-07-27 - 2008-08-02,+80%
2008-08-03 - 2008-08-09,+73%
2008-08-10 - 2008-08-16,+107%
2008-08-17 - 2008-08-23,+97%
2008-08-24 - 2008-08-30,+147%
2008-08-31 - 2008-09-06,+83%
2008-09-07 - 2008-09-13,+90%
2008-09-14 - 2008-09-20,+133%
2008-09-21 - 2008-09-27,+93%
2008-09-28 - 2008-10-04,+110%
2008-10-05 - 2008-10-11,+63%
2008-10-12 - 2008-10-18,+63%
2008-10-19 - 2008-10-25,+110%
2008-10-26 - 2008-11-01,+80%
2008-11-02 - 2008-11-08,+110%
2008-11-09 - 2008-11-15,+77%
2008-11-16 - 2008-11-22,+80%
2008-11-23 - 2008-11-29,+97%
2008-11-30 - 2008-12-06,+83%
2008-12-07 - 2008-12-13,+110%
2008-12-14 - 2008-12-20,+83%
2008-12-21 - 2008-12-27,+63%
2008-12-28 - 2009-01-03,+60%
2009-01-04 - 2009-01-10,+70%
2009-01-11 - 2009-01-17,+73%
2009-01-18 - 2009-01-24,+77%
2009-01-25 - 2009-01-31,+77%
2009-02-01 - 2009-02-07,+87%
2009-02-08 - 2009-02-14,+80%
2009-02-15 - 2009-02-21,+77%
2009-02-22 - 2009-02-28,+110%
2009-03-01 - 2009-03-07,+87%
2009-03-08 - 2009-03-14,+133%
2009-03-15 - 2009-03-21,+107%
2009-03-22 - 2009-03-28,+80%
2009-03-29 - 2009-04-04,+80%
2009-04-05 - 2009-04-11,+110%
2009-04-12 - 2009-04-18,+137%
2009-04-19 - 2009-04-25,+107%
2009-04-26 - 2009-05-02,+110%
2009-05-03 - 2009-05-09,+123%
2009-05-10 - 2009-05-16,+113%
2009-05-17 - 2009-05-23,+103%
2009-05-24 - 2009-05-30,+127%
2009-05-31 - 2009-06-06,+87%
2009-06-07 - 2009-06-13,+113%
2009-06-14 - 2009-06-20,+107%
2009-06-21 - 2009-06-27,+87%
2009-06-28 - 2009-07-04,+80%
2009-07-05 - 2009-07-11,+87%
2009-07-12 - 2009-07-18,+80%
2009-07-19 - 2009-07-25,+80%
2009-07-26 - 2009-08-01,+83%
2009-08-02 - 2009-08-08,+100%
2009-08-09 - 2009-08-15,+93%
2009-08-16 - 2009-08-22,+120%
2009-08-23 - 2009-08-29,+190%
2009-08-30 - 2009-09-05,+97%
2009-09-06 - 2009-09-12,+110%
2009-09-13 - 2009-09-19,+150%
2009-09-20 - 2009-09-26,+103%
2009-09-27 - 2009-10-03,+110%
2009-10-04 - 2009-10-10,+60%
2009-10-11 - 2009-10-17,+67%
2009-10-18 - 2009-10-24,+110%
2009-10-25 - 2009-10-31,+80%
2009-11-01 - 2009-11-07,+113%
2009-11-08 - 2009-11-14,+77%
2009-11-15 - 2009-11-21,+83%
2009-11-22 - 2009-11-28,+90%
2009-11-29 - 2009-12-05,+73%
2009-12-06 - 2009-12-12,+120%
2009-12-13 - 2009-12-19,+107%
2009-12-20 - 2009-12-26,+73%
2009-12-27 - 2010-01-02,+50%
2010-01-03 - 2010-01-09,+50%
2010-01-10 - 2010-01-16,+83%
2010-01-17 - 2010-01-23,+80%
2010-01-24 - 2010-01-30,+103%
2010-01-31 - 2010-02-06,+77%
2010-02-07 - 2010-02-13,+80%
2010-02-14 - 2010-02-20,+113%
2010-02-21 - 2010-02-27,+103%
2010-02-28 - 2010-03-06,+90%
2010-03-07 - 2010-03-13,+123%
2010-03-14 - 2010-03-20,+160%
2010-03-21 - 2010-03-27,+103%
2010-03-28 - 2010-04-03,+120%
2010-04-04 - 2010-04-10,+140%
2010-04-11 - 2010-04-17,+97%
2010-04-18 - 2010-04-24,+110%
2010-04-25 - 2010-05-01,+127%
2010-05-02 - 2010-05-08,+107%
2010-05-09 - 2010-05-15,+113%
2010-05-16 - 2010-05-22,+117%
2010-05-23 - 2010-05-29,+103%
2010-05-30 - 2010-06-05,+87%
2010-06-06 - 2010-06-12,+100%
2010-06-13 - 2010-06-19,+180%
2010-06-20 - 2010-06-26,+233%
2010-06-27 - 2010-07-03,+117%
2010-07-04 - 2010-07-10,+113%
2010-07-11 - 2010-07-17,+93%
2010-07-18 - 2010-07-24,+83%
2010-07-25 - 2010-07-31,+90%
2010-08-01 - 2010-08-07,+103%
2010-08-08 - 2010-08-14,+110%
2010-08-15 - 2010-08-21,+120%
2010-08-22 - 2010-08-28,+190%
2010-08-29 - 2010-09-04,+127%
2010-09-05 - 2010-09-11,+103%
2010-09-12 - 2010-09-18,+150%
2010-09-19 - 2010-09-25,+107%
2010-09-26 - 2010-10-02,+147%
2010-10-03 - 2010-10-09,+97%
2010-10-10 - 2010-10-16,+100%
2010-10-17 - 2010-10-23,+130%
2010-10-24 - 2010-10-30,+123%
2010-10-31 - 2010-11-06,+147%
2010-11-07 - 2010-11-13,+123%
2010-11-14 - 2010-11-20,+107%
2010-11-21 - 2010-11-27,+147%
2010-11-28 - 2010-12-04,+117%
2010-12-05 - 2010-12-11,+133%
2010-12-12 - 2010-12-18,+137%
2010-12-19 - 2010-12-25,+77%
2010-12-26 - 2011-01-01,+67%
2011-01-02 - 2011-01-08,+73%
2011-01-09 - 2011-01-15,+87%
2011-01-16 - 2011-01-22,+93%
2011-01-23 - 2011-01-29,+97%
2011-01-30 - 2011-02-05,+107%
2011-02-06 - 2011-02-12,+107%
2011-02-13 - 2011-02-19,+137%
2011-02-20 - 2011-02-26,+137%
2011-02-27 - 2011-03-05,+100%
2011-03-06 - 2011-03-12,+127%
2011-03-13 - 2011-03-19,+140%
2011-03-20 - 2011-03-26,+93%
2011-03-27 - 2011-04-02,+80%
2011-04-03 - 2011-04-09,+117%
2011-04-10 - 2011-04-16,+127%
2011-04-17 - 2011-04-23,+127%
2011-04-24 - 2011-04-30,+143%
2011-05-01 - 2011-05-07,+140%
2011-05-08 - 2011-05-14,+137%
2011-05-15 - 2011-05-21,+130%
2011-05-22 - 2011-05-28,+143%
2011-05-29 - 2011-06-04,+123%
2011-06-05 - 2011-06-11,+73%
2011-06-12 - 2011-06-18,+60%
2011-06-19 - 2011-06-25,+63%
2011-06-26 - 2011-07-02,+63%
2011-07-03 - 2011-07-09,+60%
2011-07-10 - 2011-07-16,+70%
2011-07-17 - 2011-07-23,+70%
2011-07-24 - 2011-07-30,+93%
2011-07-31 - 2011-08-06,+90%
2011-08-07 - 2011-08-13,+100%
2011-08-14 - 2011-08-20,+137%
2011-08-21 - 2011-08-27,+190%
2011-08-28 - 2011-09-03,+133%
2011-09-04 - 2011-09-10,+113%
2011-09-11 - 2011-09-17,+157%
2011-09-18 - 2011-09-24,+127%
2011-09-25 - 2011-10-01,+127%
2011-10-02 - 2011-10-08,+87%
2011-10-09 - 2011-10-15,+80%
2011-10-16 - 2011-10-22,+123%
2011-10-23 - 2011-10-29,+117%
2011-10-30 - 2011-11-05,+120%
2011-11-06 - 2011-11-12,+90%
2011-11-13 - 2011-11-19,+90%
2011-11-20 - 2011-11-26,+123%
2011-11-27 - 2011-12-03,+100%
2011-12-04 - 2011-12-10,+167%
2011-12-11 - 2011-12-17,+150%
2011-12-18 - 2011-12-24,+100%
2011-12-25 - 2011-12-31,+77%
2012-01-01 - 2012-01-07,+80%
2012-01-08 - 2012-01-14,+100%
2012-01-15 - 2012-01-21,+110%
2012-01-22 - 2012-01-28,+130%
2012-01-29 - 2012-02-04,+110%
2012-02-05 - 2012-02-11,+97%
2012-02-12 - 2012-02-18,+130%
2012-02-19 - 2012-02-25,+133%
2012-02-26 - 2012-03-03,+107%
2012-03-04 - 2012-03-10,+127%
2012-03-11 - 2012-03-17,+193%
2012-03-18 - 2012-03-24,+117%
2012-03-25 - 2012-03-31,+133%
2012-04-01 - 2012-04-07,+133%
2012-04-08 - 2012-04-14,+133%
2012-04-15 - 2012-04-21,+140%
2012-04-22 - 2012-04-28,+160%
2012-04-29 - 2012-05-05,+133%
2012-05-06 - 2012-05-12,+130%
2012-05-13 - 2012-05-19,+163%
2012-05-20 - 2012-05-26,+110%
2012-05-27 - 2012-06-02,+93%
2012-06-03 - 2012-06-09,+107%
2012-06-10 - 2012-06-16,+167%
2012-06-17 - 2012-06-23,+160%
2012-06-24 - 2012-06-30,+123%
2012-07-01 - 2012-07-07,+90%
2012-07-08 - 2012-07-14,+73%
2012-07-15 - 2012-07-21,+73%
2012-07-22 - 2012-07-28,+87%
2012-07-29 - 2012-08-04,+113%
2012-08-05 - 2012-08-11,+120%
2012-08-12 - 2012-08-18,+107%
2012-08-19 - 2012-08-25,+117%
2012-08-26 - 2012-09-01,+227%
2012-09-02 - 2012-09-08,+147%
2012-09-09 - 2012-09-15,+117%
2012-09-16 - 2012-09-22,+193%
2012-09-23 - 2012-09-29,+120%
2012-09-30 - 2012-10-06,+150%
2012-10-07 - 2012-10-13,+100%
2012-10-14 - 2012-10-20,+100%
2012-10-21 - 2012-10-27,+137%
2012-10-28 - 2012-11-03,+123%
2012-11-04 - 2012-11-10,+157%
2012-11-11 - 2012-11-17,+123%
2012-11-18 - 2012-11-24,+147%
2012-11-25 - 2012-12-01, 



Top searches
livescore,100
ronaldo,85
cristiano,75
cristiano ronaldo,75
champions ligue,45
ligue des champions,40
live score,35
l equipe,35
abola,25
record,20
gazzetta,15
champion ligue,15
amandine,15
ligue des champion,15
bbc sport,15
gazzetta dello sport,10
lequipe foot,10
kto,10
bola,10
a bola,10



Rising searches
lequipe foot,+300%
livescore,+300%
live score,+140%
record,+110%
abola,+80%
l equipe,+80%
amandine,+40%
ligue des champions,+40%



