Web Search Interest
Italy; 2004 - present

Interest over time
Week,Photographic & Digital Arts
2012-05-20 - 2012-05-26,-70%
2012-05-27 - 2012-06-02,-71%
2012-06-03 - 2012-06-09,-70%
2012-06-10 - 2012-06-16,-69%
2012-06-17 - 2012-06-23,-70%
2012-06-24 - 2012-06-30,-70%
2012-07-01 - 2012-07-07,-69%
2012-07-08 - 2012-07-14,-70%
2012-07-15 - 2012-07-21,-69%
2012-07-22 - 2012-07-28,-68%
2012-07-29 - 2012-08-04,-70%
2012-08-05 - 2012-08-11,-70%
2012-08-12 - 2012-08-18,-69%
2012-08-19 - 2012-08-25,-68%
2012-08-26 - 2012-09-01,-68%
2012-09-02 - 2012-09-08,-69%
2012-09-09 - 2012-09-15,-70%
2012-09-16 - 2012-09-22,-70%
2012-09-23 - 2012-09-29,-70%
2012-09-30 - 2012-10-06,-70%
2012-10-07 - 2012-10-13,-71%
2012-10-14 - 2012-10-20,-72%
2012-10-21 - 2012-10-27,-72%
2012-10-28 - 2012-11-03,-73%
2012-11-04 - 2012-11-10,-72%
2012-11-11 - 2012-11-17,-72%
2012-11-18 - 2012-11-24,-68%
2012-11-25 - 2012-12-01, 



Top searches
canon,100
nikon,90
sony,50
eos,25
fotografia,25
canon eos,20
camera,20
panasonic,20
fotocamera,15
sigma,15
fotocamere,15
reflex,15
obiettivi,10
videocamera,10
coolpix,10
fuji,10
pentax,10
lumix,10
kodak,10
macchine fotografiche,10



Rising searches
fotomontaggi,+500%
lumix,+350%
tamron,+180%
canon eos,+80%
eos,+80%
sigma,+70%
nital,+60%
obiettivi,+60%
reflex,+60%
nikon,+50%



