Web Search Interest,
United States; 2004 - present,
,
Interest over time,
Week,Fantasy Sports
2011-01-02 - 2011-01-08,150%
2011-01-09 - 2011-01-15,88%
2011-01-16 - 2011-01-22,75%
2011-01-23 - 2011-01-29,88%
2011-01-30 - 2011-02-05,63%
2011-02-06 - 2011-02-12,88%
2011-02-13 - 2011-02-19,75%
2011-02-20 - 2011-02-26,88%
2011-02-27 - 2011-03-05,88%
2011-03-06 - 2011-03-12,100%
2011-03-13 - 2011-03-19,113%
2011-03-20 - 2011-03-26,150%
2011-03-27 - 2011-04-02,188%
2011-04-03 - 2011-04-09,113%
2011-04-10 - 2011-04-16,88%
2011-04-17 - 2011-04-23,75%
2011-04-24 - 2011-04-30,88%
2011-05-01 - 2011-05-07,63%
2011-05-08 - 2011-05-14,63%
2011-05-15 - 2011-05-21,63%
2011-05-22 - 2011-05-28,63%
2011-05-29 - 2011-06-04,63%
2011-06-05 - 2011-06-11,125%
2011-06-12 - 2011-06-18,100%
2011-06-19 - 2011-06-25,100%
2011-06-26 - 2011-07-02,100%
2011-07-03 - 2011-07-09,113%
2011-07-10 - 2011-07-16,100%
2011-07-17 - 2011-07-23,113%
2011-07-24 - 2011-07-30,213%
2011-07-31 - 2011-08-06,288%
2011-08-07 - 2011-08-13,338%
2011-08-14 - 2011-08-20,488%
2011-08-21 - 2011-08-27,688%
2011-08-28 - 2011-09-03,863%
2011-09-04 - 2011-09-10,938%
2011-09-11 - 2011-09-17,650%
2011-09-18 - 2011-09-24,650%
2011-09-25 - 2011-10-01,513%
2011-10-02 - 2011-10-08,513%
2011-10-09 - 2011-10-15,463%
2011-10-16 - 2011-10-22,463%
2011-10-23 - 2011-10-29,488%
2011-10-30 - 2011-11-05,438%
2011-11-06 - 2011-11-12,438%
2011-11-13 - 2011-11-19,450%
2011-11-20 - 2011-11-26,513%
2011-11-27 - 2011-12-03,400%
2011-12-04 - 2011-12-10,400%
2011-12-11 - 2011-12-17,413%
2011-12-18 - 2011-12-24,463%
2011-12-25 - 2011-12-31,288%
2012-01-01 - 2012-01-07,213%
2012-01-08 - 2012-01-14,150%
2012-01-15 - 2012-01-21,125%
2012-01-22 - 2012-01-28,113%
2012-01-29 - 2012-02-04,88%
2012-02-05 - 2012-02-11,100%
2012-02-12 - 2012-02-18,88%
2012-02-19 - 2012-02-25,113%
2012-02-26 - 2012-03-03,113%
2012-03-04 - 2012-03-10,138%
2012-03-11 - 2012-03-17,163%
2012-03-18 - 2012-03-24,200%
2012-03-25 - 2012-03-31,200%
2012-04-01 - 2012-04-07,188%
2012-04-08 - 2012-04-14,163%
2012-04-15 - 2012-04-21,138%
2012-04-22 - 2012-04-28,138%
2012-04-29 - 2012-05-05,113%
2012-05-06 - 2012-05-12,113%
2012-05-13 - 2012-05-19,113%
2012-05-20 - 2012-05-26,88%
2012-05-27 - 2012-06-02,113%
2012-06-03 - 2012-06-09,150%
2012-06-10 - 2012-06-16,113%
2012-06-17 - 2012-06-23,100%
2012-06-24 - 2012-06-30,113%
2012-07-01 - 2012-07-07,113%
2012-07-08 - 2012-07-14,113%
2012-07-15 - 2012-07-21,150%
2012-07-22 - 2012-07-28,188%
2012-07-29 - 2012-08-04,238%
2012-08-05 - 2012-08-11,375%
2012-08-12 - 2012-08-18,525%
2012-08-19 - 2012-08-25,863%
2012-08-26 - 2012-09-01,150%
2012-09-02 - 2012-09-08,100%
2012-09-09 - 2012-09-15,813%
2012-09-16 - 2012-09-22,650%
2012-09-23 - 2012-09-29,663%
2012-09-30 - 2012-10-06,588%
2012-10-07 - 2012-10-13,575%
2012-10-14 - 2012-10-20,588%
2012-10-21 - 2012-10-27,613%
2012-10-28 - 2012-11-03,613%
2012-11-04 - 2012-11-10,513%
2012-11-11 - 2012-11-17,588%
2012-11-18 - 2012-11-24,688%
2012-11-25 - 2012-12-01, 
,
,
,
Top searches,
fantasy,100
football,75
fantasy football,70
espn,45
espn fantasy,35
espn fantasy football,25
fantasy baseball,10
yahoo fantasy,10
cleats,10
fantasy draft,10
fantasy rankings,5
yahoo fantasy football,5
cbs fantasy,5
fantasy football draft,5
fantasy sports,5
