Web Search Interest
Portugal; 2004 - present

Interest over time
Week,Banking
2008-12-21 - 2008-12-27,+130%
2008-12-28 - 2009-01-03,+164%
2009-01-04 - 2009-01-10,+155%
2009-01-11 - 2009-01-17,+130%
2009-01-18 - 2009-01-24,+112%
2009-01-25 - 2009-01-31,+133%
2009-02-01 - 2009-02-07,+133%
2009-02-08 - 2009-02-14,+121%
2009-02-15 - 2009-02-21,+118%
2009-02-22 - 2009-02-28,+139%
2009-03-01 - 2009-03-07,+152%
2009-03-08 - 2009-03-14,+121%
2009-03-15 - 2009-03-21,+115%
2009-03-22 - 2009-03-28,+124%
2009-03-29 - 2009-04-04,+158%
2009-04-05 - 2009-04-11,+127%
2009-04-12 - 2009-04-18,+130%
2009-04-19 - 2009-04-25,+130%
2009-04-26 - 2009-05-02,+152%
2009-05-03 - 2009-05-09,+164%
2009-05-10 - 2009-05-16,+121%
2009-05-17 - 2009-05-23,+112%
2009-05-24 - 2009-05-30,+133%
2009-05-31 - 2009-06-06,+139%
2009-06-07 - 2009-06-13,+100%
2009-06-14 - 2009-06-20,+133%
2009-06-21 - 2009-06-27,+124%
2009-06-28 - 2009-07-04,+170%
2009-07-05 - 2009-07-11,+142%
2009-07-12 - 2009-07-18,+127%
2009-07-19 - 2009-07-25,+139%
2009-07-26 - 2009-08-01,+176%
2009-08-02 - 2009-08-08,+173%
2009-08-09 - 2009-08-15,+142%
2009-08-16 - 2009-08-22,+133%
2009-08-23 - 2009-08-29,+139%
2009-08-30 - 2009-09-05,+148%
2009-09-06 - 2009-09-12,+124%
2009-09-13 - 2009-09-19,+121%
2009-09-20 - 2009-09-26,+124%
2009-09-27 - 2009-10-03,+142%
2009-10-04 - 2009-10-10,+112%
2009-10-11 - 2009-10-17,+118%
2009-10-18 - 2009-10-24,+106%
2009-10-25 - 2009-10-31,+121%
2009-11-01 - 2009-11-07,+127%
2009-11-08 - 2009-11-14,+97%
2009-11-15 - 2009-11-21,+97%
2009-11-22 - 2009-11-28,+121%
2009-11-29 - 2009-12-05,+139%
2009-12-06 - 2009-12-12,+124%
2009-12-13 - 2009-12-19,+136%
2009-12-20 - 2009-12-26,+133%
2009-12-27 - 2010-01-02,+167%
2010-01-03 - 2010-01-09,+142%
2010-01-10 - 2010-01-16,+112%
2010-01-17 - 2010-01-23,+106%
2010-01-24 - 2010-01-30,+130%
2010-01-31 - 2010-02-06,+127%
2010-02-07 - 2010-02-13,+115%
2010-02-14 - 2010-02-20,+103%
2010-02-21 - 2010-02-27,+127%
2010-02-28 - 2010-03-06,+133%
2010-03-07 - 2010-03-13,+112%
2010-03-14 - 2010-03-20,+106%
2010-03-21 - 2010-03-27,+109%
2010-03-28 - 2010-04-03,+152%
2010-04-04 - 2010-04-10,+152%
2010-04-11 - 2010-04-17,+124%
2010-04-18 - 2010-04-24,+118%
2010-04-25 - 2010-05-01,+139%
2010-05-02 - 2010-05-08,+130%
2010-05-09 - 2010-05-15,+115%
2010-05-16 - 2010-05-22,+118%
2010-05-23 - 2010-05-29,+133%
2010-05-30 - 2010-06-05,+152%
2010-06-06 - 2010-06-12,+121%
2010-06-13 - 2010-06-19,+118%
2010-06-20 - 2010-06-26,+130%
2010-06-27 - 2010-07-03,+170%
2010-07-04 - 2010-07-10,+148%
2010-07-11 - 2010-07-17,+139%
2010-07-18 - 2010-07-24,+148%
2010-07-25 - 2010-07-31,+179%
2010-08-01 - 2010-08-07,+182%
2010-08-08 - 2010-08-14,+155%
2010-08-15 - 2010-08-21,+145%
2010-08-22 - 2010-08-28,+142%
2010-08-29 - 2010-09-04,+164%
2010-09-05 - 2010-09-11,+133%
2010-09-12 - 2010-09-18,+127%
2010-09-19 - 2010-09-25,+127%
2010-09-26 - 2010-10-02,+161%
2010-10-03 - 2010-10-09,+130%
2010-10-10 - 2010-10-16,+145%
2010-10-17 - 2010-10-23,+124%
2010-10-24 - 2010-10-30,+145%
2010-10-31 - 2010-11-06,+142%
2010-11-07 - 2010-11-13,+133%
2010-11-14 - 2010-11-20,+109%
2010-11-21 - 2010-11-27,+133%
2010-11-28 - 2010-12-04,+179%
2010-12-05 - 2010-12-11,+145%
2010-12-12 - 2010-12-18,+148%
2010-12-19 - 2010-12-25,+164%
2010-12-26 - 2011-01-01,+179%
2011-01-02 - 2011-01-08,+152%
2011-01-09 - 2011-01-15,+112%
2011-01-16 - 2011-01-22,+112%
2011-01-23 - 2011-01-29,+115%
2011-01-30 - 2011-02-05,+133%
2011-02-06 - 2011-02-12,+121%
2011-02-13 - 2011-02-19,+106%
2011-02-20 - 2011-02-26,+127%
2011-02-27 - 2011-03-05,+145%
2011-03-06 - 2011-03-12,+112%
2011-03-13 - 2011-03-19,+112%
2011-03-20 - 2011-03-26,+103%
2011-03-27 - 2011-04-02,+136%
2011-04-03 - 2011-04-09,+136%
2011-04-10 - 2011-04-16,+124%
2011-04-17 - 2011-04-23,+118%
2011-04-24 - 2011-04-30,+158%
2011-05-01 - 2011-05-07,+158%
2011-05-08 - 2011-05-14,+133%
2011-05-15 - 2011-05-21,+118%
2011-05-22 - 2011-05-28,+127%
2011-05-29 - 2011-06-04,+152%
2011-06-05 - 2011-06-11,+118%
2011-06-12 - 2011-06-18,+124%
2011-06-19 - 2011-06-25,+127%
2011-06-26 - 2011-07-02,+142%
2011-07-03 - 2011-07-09,+139%
2011-07-10 - 2011-07-16,+124%
2011-07-17 - 2011-07-23,+130%
2011-07-24 - 2011-07-30,+152%
2011-07-31 - 2011-08-06,+173%
2011-08-07 - 2011-08-13,+148%
2011-08-14 - 2011-08-20,+124%
