Web Search Interest
United States; 2004 - present

Interest over time
Week,Insurance
2005-04-03 - 2005-04-09,-12%
2005-04-10 - 2005-04-16,-12%
2005-04-17 - 2005-04-23,-9%
2005-04-24 - 2005-04-30,-6%
2005-05-01 - 2005-05-07,-11%
2005-05-08 - 2005-05-14,-8%
2005-05-15 - 2005-05-21,-5%
2005-05-22 - 2005-05-28,-3%
2005-05-29 - 2005-06-04,-9%
2005-06-05 - 2005-06-11,-1%
2005-06-12 - 2005-06-18,+1%
2005-06-19 - 2005-06-25,-1%
2005-06-26 - 2005-07-02,+1%
2005-07-03 - 2005-07-09,-5%
2005-07-10 - 2005-07-16,+2%
2005-07-17 - 2005-07-23,+0%
2005-07-24 - 2005-07-30,+2%
2005-07-31 - 2005-08-06,+2%
2005-08-07 - 2005-08-13,+1%
2005-08-14 - 2005-08-20,+1%
2005-08-21 - 2005-08-27,-2%
2005-08-28 - 2005-09-03,-2%
2005-09-04 - 2005-09-10,-5%
2005-09-11 - 2005-09-17,-4%
2005-09-18 - 2005-09-24,-10%
2005-09-25 - 2005-10-01,-1%
2005-10-02 - 2005-10-08,-6%
2005-10-09 - 2005-10-15,-5%
2005-10-16 - 2005-10-22,-4%
2005-10-23 - 2005-10-29,-5%
2005-10-30 - 2005-11-05,-6%
2005-11-06 - 2005-11-12,-5%
2005-11-13 - 2005-11-19,-1%
2005-11-20 - 2005-11-26,-25%
2005-11-27 - 2005-12-03,-4%
2005-12-04 - 2005-12-10,-14%
2005-12-11 - 2005-12-17,-13%
2005-12-18 - 2005-12-24,-17%
2005-12-25 - 2005-12-31,-10%
2006-01-01 - 2006-01-07,+2%
2006-01-08 - 2006-01-14,+1%
2006-01-15 - 2006-01-21,-2%
2006-01-22 - 2006-01-28,-2%
2006-01-29 - 2006-02-04,-2%
2006-02-05 - 2006-02-11,-9%
2006-02-12 - 2006-02-18,-12%
2006-02-19 - 2006-02-25,-9%
2006-02-26 - 2006-03-04,-8%
2006-03-05 - 2006-03-11,-10%
2006-03-12 - 2006-03-18,-8%
2006-03-19 - 2006-03-25,-8%
2006-03-26 - 2006-04-01,-8%
2006-04-02 - 2006-04-08,-5%
2006-04-09 - 2006-04-15,-12%
2006-04-16 - 2006-04-22,-5%
2006-04-23 - 2006-04-29,-4%
2006-04-30 - 2006-05-06,-2%
2006-05-07 - 2006-05-13,-1%
2006-05-14 - 2006-05-20,-3%
2006-05-21 - 2006-05-27,-5%
2006-05-28 - 2006-06-03,-9%
2006-06-04 - 2006-06-10,-5%
2006-06-11 - 2006-06-17,-3%
2006-06-18 - 2006-06-24,+1%
2006-06-25 - 2006-07-01,+0%
2006-07-02 - 2006-07-08,-9%
2006-07-09 - 2006-07-15,+2%
2006-07-16 - 2006-07-22,-1%
2006-07-23 - 2006-07-29,+3%
2006-07-30 - 2006-08-05,+2%
2006-08-06 - 2006-08-12,-3%
2006-08-13 - 2006-08-19,+1%
2006-08-20 - 2006-08-26,+0%
2006-08-27 - 2006-09-02,-3%
2006-09-03 - 2006-09-09,-11%
2006-09-10 - 2006-09-16,-10%
2006-09-17 - 2006-09-23,-6%
2006-09-24 - 2006-09-30,-4%
2006-10-01 - 2006-10-07,-8%
2006-10-08 - 2006-10-14,-6%
2006-10-15 - 2006-10-21,-4%
2006-10-22 - 2006-10-28,-5%
2006-10-29 - 2006-11-04,+0%
2006-11-05 - 2006-11-11,-4%
2006-11-12 - 2006-11-18,-5%
2006-11-19 - 2006-11-25,-27%
2006-11-26 - 2006-12-02,-9%
2006-12-03 - 2006-12-09,-10%
2006-12-10 - 2006-12-16,-13%
2006-12-17 - 2006-12-23,-15%
2006-12-24 - 2006-12-30,-18%
2006-12-31 - 2007-01-06,-4%
2007-01-07 - 2007-01-13,+0%
2007-01-14 - 2007-01-20,-4%
2007-01-21 - 2007-01-27,-3%
2007-01-28 - 2007-02-03,-3%
2007-02-04 - 2007-02-10,-2%
2007-02-11 - 2007-02-17,-12%
2007-02-18 - 2007-02-24,-8%
2007-02-25 - 2007-03-03,-5%
2007-03-04 - 2007-03-10,-4%
2007-03-11 - 2007-03-17,-8%
2007-03-18 - 2007-03-24,-3%
2007-03-25 - 2007-03-31,-5%
2007-04-01 - 2007-04-07,-8%
2007-04-08 - 2007-04-14,-6%
2007-04-15 - 2007-04-21,-8%
2007-04-22 - 2007-04-28,-8%
2007-04-29 - 2007-05-05,-5%
2007-05-06 - 2007-05-12,-9%
2007-05-13 - 2007-05-19,-6%
2007-05-20 - 2007-05-26,-9%
2007-05-27 - 2007-06-02,-15%
2007-06-03 - 2007-06-09,-5%
2007-06-10 - 2007-06-16,-3%
2007-06-17 - 2007-06-23,-4%
2007-06-24 - 2007-06-30,-4%
2007-07-01 - 2007-07-07,-10%
2007-07-08 - 2007-07-14,-1%
2007-07-15 - 2007-07-21,-3%
2007-07-22 - 2007-07-28,-3%
2007-07-29 - 2007-08-04,-3%
2007-08-05 - 2007-08-11,-3%
2007-08-12 - 2007-08-18,-3%
2007-08-19 - 2007-08-25,-4%
2007-08-26 - 2007-09-01,-8%
2007-09-02 - 2007-09-08,-13%
2007-09-09 - 2007-09-15,-11%
2007-09-16 - 2007-09-22,-13%
2007-09-23 - 2007-09-29,-11%
2007-09-30 - 2007-10-06,-11%
2007-10-07 - 2007-10-13,-13%
2007-10-14 - 2007-10-20,-11%
2007-10-21 - 2007-10-27,-10%
2007-10-28 - 2007-11-03,-9%
2007-11-04 - 2007-11-10,-10%
2007-11-11 - 2007-11-17,-6%
2007-11-18 - 2007-11-24,-29%
2007-11-25 - 2007-12-01,-14%
2007-12-02 - 2007-12-08,-15%
2007-12-09 - 2007-12-15,-19%
2007-12-16 - 2007-12-22,-18%
2007-12-23 - 2007-12-29,-27%
2007-12-30 - 2008-01-05,-13%
2008-01-06 - 2008-01-12,-3%
2008-01-13 - 2008-01-19,-8%
2008-01-20 - 2008-01-26,-9%
2008-01-27 - 2008-02-02,-8%
2008-02-03 - 2008-02-09,-11%
2008-02-10 - 2008-02-16,-13%
2008-02-17 - 2008-02-23,-13%
2008-02-24 - 2008-03-01,-12%
2008-03-02 - 2008-03-08,-12%
2008-03-09 - 2008-03-15,-12%
2008-03-16 - 2008-03-22,-13%
2008-03-23 - 2008-03-29,-10%
2008-03-30 - 2008-04-05,-12%
2008-04-06 - 2008-04-12,-13%
2008-04-13 - 2008-04-19,-13%
2008-04-20 - 2008-04-26,-14%
2008-04-27 - 2008-05-03,-16%
2008-05-04 - 2008-05-10,-14%
2008-05-11 - 2008-05-17,-13%
2008-05-18 - 2008-05-24,-12%
2008-05-25 - 2008-05-31,-19%
2008-06-01 - 2008-06-07,-11%
2008-06-08 - 2008-06-14,-11%
2008-06-15 - 2008-06-21,-11%
2008-06-22 - 2008-06-28,-12%
2008-06-29 - 2008-07-05,-15%
2008-07-06 - 2008-07-12,-9%
2008-07-13 - 2008-07-19,-8%
2008-07-20 - 2008-07-26,-9%
2008-07-27 - 2008-08-02,-11%
2008-08-03 - 2008-08-09,-13%
2008-08-10 - 2008-08-16,-14%
2008-08-17 - 2008-08-23,-13%
2008-08-24 - 2008-08-30,-11%
2008-08-31 - 2008-09-06,-18%
2008-09-07 - 2008-09-13,-15%
2008-09-14 - 2008-09-20,+8%
2008-09-21 - 2008-09-27,-10%
2008-09-28 - 2008-10-04,-10%
2008-10-05 - 2008-10-11,-9%
2008-10-12 - 2008-10-18,-13%
2008-10-19 - 2008-10-25,-11%
2008-10-26 - 2008-11-01,-11%
2008-11-02 - 2008-11-08,-16%
2008-11-09 - 2008-11-15,-11%
2008-11-16 - 2008-11-22,-13%
2008-11-23 - 2008-11-29,-31%
2008-11-30 - 2008-12-06,-15%
2008-12-07 - 2008-12-13,-19%
2008-12-14 - 2008-12-20,-20%
2008-12-21 - 2008-12-27,-37%
2008-12-28 - 2009-01-03,-19%
2009-01-04 - 2009-01-10,-6%
2009-01-11 - 2009-01-17,-6%
2009-01-18 - 2009-01-24,-15%
2009-01-25 - 2009-01-31,-13%
2009-02-01 - 2009-02-07,-11%
2009-02-08 - 2009-02-14,-15%
2009-02-15 - 2009-02-21,-15%
2009-02-22 - 2009-02-28,-12%
2009-03-01 - 2009-03-07,-11%
2009-03-08 - 2009-03-14,-11%
2009-03-15 - 2009-03-21,-4%
2009-03-22 - 2009-03-28,-13%
2009-03-29 - 2009-04-04,-12%
2009-04-05 - 2009-04-11,-18%
2009-04-12 - 2009-04-18,-17%
2009-04-19 - 2009-04-25,-17%
2009-04-26 - 2009-05-02,-17%
2009-05-03 - 2009-05-09,-17%
2009-05-10 - 2009-05-16,-14%
2009-05-17 - 2009-05-23,-18%
2009-05-24 - 2009-05-30,-22%
2009-05-31 - 2009-06-06,-16%
2009-06-07 - 2009-06-13,-17%
2009-06-14 - 2009-06-20,-13%
2009-06-21 - 2009-06-27,-13%
2009-06-28 - 2009-07-04,-16%
2009-07-05 - 2009-07-11,-13%
2009-07-12 - 2009-07-18,-12%
2009-07-19 - 2009-07-25,-12%
2009-07-26 - 2009-08-01,-8%
2009-08-02 - 2009-08-08,-10%
2009-08-09 - 2009-08-15,-10%
2009-08-16 - 2009-08-22,-10%
2009-08-23 - 2009-08-29,-11%
2009-08-30 - 2009-09-05,-12%
2009-09-06 - 2009-09-12,-19%
2009-09-13 - 2009-09-19,-14%
2009-09-20 - 2009-09-26,-14%
2009-09-27 - 2009-10-03,-18%
2009-10-04 - 2009-10-10,-18%
2009-10-11 - 2009-10-17,-17%
2009-10-18 - 2009-10-24,-17%
2009-10-25 - 2009-10-31,-19%
2009-11-01 - 2009-11-07,-14%
2009-11-08 - 2009-11-14,-19%
2009-11-15 - 2009-11-21,-18%
2009-11-22 - 2009-11-28,-33%
2009-11-29 - 2009-12-05,-18%
2009-12-06 - 2009-12-12,-24%
2009-12-13 - 2009-12-19,-24%
2009-12-20 - 2009-12-26,-38%
2009-12-27 - 2010-01-02,-26%
2010-01-03 - 2010-01-09,-13%
2010-01-10 - 2010-01-16,-14%
2010-01-17 - 2010-01-23,-17%
2010-01-24 - 2010-01-30,-17%
2010-01-31 - 2010-02-06,-19%
2010-02-07 - 2010-02-13,-23%
2010-02-14 - 2010-02-20,-23%
2010-02-21 - 2010-02-27,-17%
2010-02-28 - 2010-03-06,-13%
2010-03-07 - 2010-03-13,-17%
2010-03-14 - 2010-03-20,-16%
2010-03-21 - 2010-03-27,-14%
2010-03-28 - 2010-04-03,-20%
2010-04-04 - 2010-04-10,-19%
2010-04-11 - 2010-04-17,-23%
2010-04-18 - 2010-04-24,-22%
2010-04-25 - 2010-05-01,-22%
2010-05-02 - 2010-05-08,-22%
2010-05-09 - 2010-05-15,-22%
2010-05-16 - 2010-05-22,-18%
2010-05-23 - 2010-05-29,-23%
2010-05-30 - 2010-06-05,-19%
2010-06-06 - 2010-06-12,-18%
2010-06-13 - 2010-06-19,-17%
2010-06-20 - 2010-06-26,-15%
2010-06-27 - 2010-07-03,-15%
2010-07-04 - 2010-07-10,-26%
2010-07-11 - 2010-07-17,-20%
2010-07-18 - 2010-07-24,-18%
2010-07-25 - 2010-07-31,-20%
2010-08-01 - 2010-08-07,-19%
2010-08-08 - 2010-08-14,-20%
2010-08-15 - 2010-08-21,-19%
2010-08-22 - 2010-08-28,-20%
2010-08-29 - 2010-09-04,-22%
2010-09-05 - 2010-09-11,-30%
2010-09-12 - 2010-09-18,-23%
2010-09-19 - 2010-09-25,-20%
2010-09-26 - 2010-10-02,-22%
2010-10-03 - 2010-10-09,-22%
2010-10-10 - 2010-10-16,-24%
2010-10-17 - 2010-10-23,-23%
2010-10-24 - 2010-10-30,-24%
2010-10-31 - 2010-11-06,-23%
2010-11-07 - 2010-11-13,-23%
2010-11-14 - 2010-11-20,-23%
2010-11-21 - 2010-11-27,-40%
2010-11-28 - 2010-12-04,-26%
2010-12-05 - 2010-12-11,-27%
2010-12-12 - 2010-12-18,-28%
2010-12-19 - 2010-12-25,-39%
2010-12-26 - 2011-01-01,-33%
2011-01-02 - 2011-01-08,-13%
2011-01-09 - 2011-01-15,-19%
2011-01-16 - 2011-01-22,-19%
2011-01-23 - 2011-01-29,-19%
2011-01-30 - 2011-02-05,-22%
2011-02-06 - 2011-02-12,-18%
2011-02-13 - 2011-02-19,-22%
2011-02-20 - 2011-02-26,-20%
2011-02-27 - 2011-03-05,-19%
2011-03-06 - 2011-03-12,-20%
2011-03-13 - 2011-03-19,-20%
2011-03-20 - 2011-03-26,-19%
2011-03-27 - 2011-04-02,-20%
2011-04-03 - 2011-04-09,-20%
2011-04-10 - 2011-04-16,-20%
2011-04-17 - 2011-04-23,-25%
2011-04-24 - 2011-04-30,-25%
2011-05-01 - 2011-05-07,-26%
2011-05-08 - 2011-05-14,-26%
2011-05-15 - 2011-05-21,-23%
2011-05-22 - 2011-05-28,-24%
2011-05-29 - 2011-06-04,-24%
2011-06-05 - 2011-06-11,-22%
2011-06-12 - 2011-06-18,-20%
2011-06-19 - 2011-06-25,-22%
2011-06-26 - 2011-07-02,-19%
2011-07-03 - 2011-07-09,-25%
2011-07-10 - 2011-07-16,-19%
2011-07-17 - 2011-07-23,-18%
2011-07-24 - 2011-07-30,-19%
2011-07-31 - 2011-08-06,-17%
2011-08-07 - 2011-08-13,-19%
2011-08-14 - 2011-08-20,-19%
2011-08-21 - 2011-08-27,-22%
2011-08-28 - 2011-09-03,-20%
2011-09-04 - 2011-09-10,-28%
2011-09-11 - 2011-09-17,-23%
2011-09-18 - 2011-09-24,-23%
2011-09-25 - 2011-10-01,-22%
2011-10-02 - 2011-10-08,-22%
2011-10-09 - 2011-10-15,-23%
2011-10-16 - 2011-10-22,-20%
2011-10-23 - 2011-10-29,-20%
2011-10-30 - 2011-11-05,-19%
2011-11-06 - 2011-11-12,-22%
2011-11-13 - 2011-11-19,-22%
2011-11-20 - 2011-11-26,-41%
2011-11-27 - 2011-12-03,-23%
2011-12-04 - 2011-12-10,-26%
2011-12-11 - 2011-12-17,-30%
2011-12-18 - 2011-12-24,-35%
2011-12-25 - 2011-12-31,-32%
2012-01-01 - 2012-01-07,-20%
2012-01-08 - 2012-01-14,-18%
2012-01-15 - 2012-01-21,-24%
2012-01-22 - 2012-01-28,-23%
2012-01-29 - 2012-02-04,-22%
2012-02-05 - 2012-02-11,-22%
2012-02-12 - 2012-02-18,-27%
2012-02-19 - 2012-02-25,-26%
2012-02-26 - 2012-03-03,-23%
2012-03-04 - 2012-03-10,-24%
2012-03-11 - 2012-03-17,-27%
2012-03-18 - 2012-03-24,-25%
2012-03-25 - 2012-03-31,-24%
2012-04-01 - 2012-04-07,-28%
2012-04-08 - 2012-04-14,-26%
2012-04-15 - 2012-04-21,-25%
2012-04-22 - 2012-04-28,-26%
2012-04-29 - 2012-05-05,-26%
2012-05-06 - 2012-05-12,-25%
2012-05-13 - 2012-05-19,-24%
2012-05-20 - 2012-05-26,-24%
2012-05-27 - 2012-06-02,-29%
2012-06-03 - 2012-06-09,-22%
2012-06-10 - 2012-06-16,-22%
2012-06-17 - 2012-06-23,-23%
2012-06-24 - 2012-06-30,-13%
2012-07-01 - 2012-07-07,-27%
2012-07-08 - 2012-07-14,-19%
2012-07-15 - 2012-07-21,-22%
2012-07-22 - 2012-07-28,-19%
2012-07-29 - 2012-08-04,-20%
2012-08-05 - 2012-08-11,-24%
2012-08-12 - 2012-08-18,-23%
2012-08-19 - 2012-08-25,-19%
2012-08-26 - 2012-09-01,-25%
2012-09-02 - 2012-09-08,-28%
2012-09-09 - 2012-09-15,-23%
2012-09-16 - 2012-09-22,-23%
2012-09-23 - 2012-09-29,-20%
2012-09-30 - 2012-10-06,-22%
2012-10-07 - 2012-10-13,-25%
2012-10-14 - 2012-10-20,-23%
2012-10-21 - 2012-10-27,-19%
2012-10-28 - 2012-11-03,-26%
2012-11-04 - 2012-11-10,-26%
2012-11-11 - 2012-11-17,-23%
2012-11-18 - 2012-11-24,-59%
2012-11-25 - 2012-12-01, 



Top searches
insurance,100
blue cross,10
health insurance,10
state farm,10
blue shield,10
medicare,10
geico,10
auto insurance,10
aaa,10
life insurance,10
medicaid,5
car insurance,5
allstate,5
colorado springs,5
progressive,5
state farm insurance,5
aetna,5
united healthcare,5
progressive insurance,5
insurance quotes,5



Rising searches
esurance,+350%
secu,+200%
anthem blue cross,+180%
bcbs,+110%
humana,+110%
colorado springs,+90%
anthem,+80%
aflac,+70%
united healthcare,+60%
allstate,+50%



