Web Search Interest
France; 2004 - present

Interest over time
Week,Sports News
2005-08-14 - 2005-08-20,+38%
2005-08-21 - 2005-08-27,+81%
2005-08-28 - 2005-09-03,+31%
2005-09-04 - 2005-09-10,+22%
2005-09-11 - 2005-09-17,+47%
2005-09-18 - 2005-09-24,+31%
2005-09-25 - 2005-10-01,+38%
2005-10-02 - 2005-10-08,+19%
2005-10-09 - 2005-10-15,+19%
2005-10-16 - 2005-10-22,+47%
2005-10-23 - 2005-10-29,+38%
2005-10-30 - 2005-11-05,+41%
2005-11-06 - 2005-11-12,+31%
2005-11-13 - 2005-11-19,+16%
2005-11-20 - 2005-11-26,+34%
2005-11-27 - 2005-12-03,+19%
2005-12-04 - 2005-12-10,+31%
2005-12-11 - 2005-12-17,+44%
2005-12-18 - 2005-12-24,+22%
2005-12-25 - 2005-12-31,+16%
2006-01-01 - 2006-01-07,+19%
2006-01-08 - 2006-01-14,+31%
2006-01-15 - 2006-01-21,+22%
2006-01-22 - 2006-01-28,+28%
2006-01-29 - 2006-02-04,+25%
2006-02-05 - 2006-02-11,+25%
2006-02-12 - 2006-02-18,+31%
2006-02-19 - 2006-02-25,+59%
2006-02-26 - 2006-03-04,+34%
2006-03-05 - 2006-03-11,+97%
2006-03-12 - 2006-03-18,+50%
2006-03-19 - 2006-03-25,+34%
2006-03-26 - 2006-04-01,+47%
2006-04-02 - 2006-04-08,+47%
2006-04-09 - 2006-04-15,+34%
2006-04-16 - 2006-04-22,+47%
2006-04-23 - 2006-04-29,+53%
2006-04-30 - 2006-05-06,+44%
2006-05-07 - 2006-05-13,+41%
2006-05-14 - 2006-05-20,+69%
2006-05-21 - 2006-05-27,+41%
2006-05-28 - 2006-06-03,+31%
2006-06-04 - 2006-06-10,+53%
2006-06-11 - 2006-06-17,+109%
2006-06-18 - 2006-06-24,+100%
2006-06-25 - 2006-07-01,+134%
2006-07-02 - 2006-07-08,+206%
2006-07-09 - 2006-07-15,+175%
2006-07-16 - 2006-07-22,+66%
2006-07-23 - 2006-07-29,+59%
2006-07-30 - 2006-08-05,+44%
2006-08-06 - 2006-08-12,+53%
2006-08-13 - 2006-08-19,+69%
2006-08-20 - 2006-08-26,+88%
2006-08-27 - 2006-09-02,+53%
2006-09-03 - 2006-09-09,+78%
2006-09-10 - 2006-09-16,+75%
2006-09-17 - 2006-09-23,+47%
2006-09-24 - 2006-09-30,+69%
2006-10-01 - 2006-10-07,+41%
2006-10-08 - 2006-10-14,+34%
2006-10-15 - 2006-10-21,+53%
2006-10-22 - 2006-10-28,+53%
2006-10-29 - 2006-11-04,+66%
2006-11-05 - 2006-11-11,+41%
2006-11-12 - 2006-11-18,+34%
2006-11-19 - 2006-11-25,+63%
2006-11-26 - 2006-12-02,+47%
2006-12-03 - 2006-12-09,+63%
2006-12-10 - 2006-12-16,+56%
2006-12-17 - 2006-12-23,+47%
2006-12-24 - 2006-12-30,+25%
2006-12-31 - 2007-01-06,+25%
2007-01-07 - 2007-01-13,+28%
2007-01-14 - 2007-01-20,+38%
2007-01-21 - 2007-01-27,+38%
2007-01-28 - 2007-02-03,+34%
2007-02-04 - 2007-02-10,+41%
2007-02-11 - 2007-02-17,+41%
2007-02-18 - 2007-02-24,+66%
2007-02-25 - 2007-03-03,+41%
2007-03-04 - 2007-03-10,+84%
2007-03-11 - 2007-03-17,+44%
2007-03-18 - 2007-03-24,+34%
2007-03-25 - 2007-03-31,+44%
2007-04-01 - 2007-04-07,+59%
2007-04-08 - 2007-04-14,+78%
2007-04-15 - 2007-04-21,+56%
2007-04-22 - 2007-04-28,+63%
2007-04-29 - 2007-05-05,+66%
2007-05-06 - 2007-05-12,+53%
2007-05-13 - 2007-05-19,+53%
2007-05-20 - 2007-05-26,+63%
2007-05-27 - 2007-06-02,+53%
2007-06-03 - 2007-06-09,+50%
2007-06-10 - 2007-06-16,+44%
2007-06-17 - 2007-06-23,+44%
2007-06-24 - 2007-06-30,+34%
2007-07-01 - 2007-07-07,+34%
2007-07-08 - 2007-07-14,+34%
2007-07-15 - 2007-07-21,+34%
2007-07-22 - 2007-07-28,+41%
2007-07-29 - 2007-08-04,+41%
2007-08-05 - 2007-08-11,+50%
2007-08-12 - 2007-08-18,+63%
2007-08-19 - 2007-08-25,+47%
2007-08-26 - 2007-09-01,+103%
2007-09-02 - 2007-09-08,+56%
2007-09-09 - 2007-09-15,+63%
2007-09-16 - 2007-09-22,+72%
2007-09-23 - 2007-09-29,+47%
2007-09-30 - 2007-10-06,+78%
2007-10-07 - 2007-10-13,+41%
2007-10-14 - 2007-10-20,+34%
2007-10-21 - 2007-10-27,+59%
2007-10-28 - 2007-11-03,+47%
2007-11-04 - 2007-11-10,+59%
2007-11-11 - 2007-11-17,+34%
2007-11-18 - 2007-11-24,+38%
2007-11-25 - 2007-12-01,+63%
2007-12-02 - 2007-12-08,+44%
2007-12-09 - 2007-12-15,+69%
2007-12-16 - 2007-12-22,+122%
2007-12-23 - 2007-12-29,+53%
2007-12-30 - 2008-01-05,+41%
2008-01-06 - 2008-01-12,+38%
2008-01-13 - 2008-01-19,+50%
2008-01-20 - 2008-01-26,+78%
2008-01-27 - 2008-02-02,+66%
2008-02-03 - 2008-02-09,+56%
2008-02-10 - 2008-02-16,+50%
2008-02-17 - 2008-02-23,+94%
2008-02-24 - 2008-03-01,+50%
2008-03-02 - 2008-03-08,+88%
2008-03-09 - 2008-03-15,+63%
2008-03-16 - 2008-03-22,+59%
2008-03-23 - 2008-03-29,+66%
2008-03-30 - 2008-04-05,+75%
2008-04-06 - 2008-04-12,+78%
2008-04-13 - 2008-04-19,+69%
2008-04-20 - 2008-04-26,+72%
2008-04-27 - 2008-05-03,+91%
2008-05-04 - 2008-05-10,+72%
2008-05-11 - 2008-05-17,+72%
2008-05-18 - 2008-05-24,+97%
2008-05-25 - 2008-05-31,+78%
2008-06-01 - 2008-06-07,+91%
2008-06-08 - 2008-06-14,+119%
2008-06-15 - 2008-06-21,+103%
2008-06-22 - 2008-06-28,+72%
2008-06-29 - 2008-07-05,+56%
2008-07-06 - 2008-07-12,+47%
2008-07-13 - 2008-07-19,+69%
2008-07-20 - 2008-07-26,+59%
2008-07-27 - 2008-08-02,+69%
2008-08-03 - 2008-08-09,+59%
2008-08-10 - 2008-08-16,+91%
2008-08-17 - 2008-08-23,+78%
2008-08-24 - 2008-08-30,+125%
2008-08-31 - 2008-09-06,+69%
2008-09-07 - 2008-09-13,+84%
2008-09-14 - 2008-09-20,+116%
2008-09-21 - 2008-09-27,+75%
2008-09-28 - 2008-10-04,+88%
2008-10-05 - 2008-10-11,+53%
2008-10-12 - 2008-10-18,+47%
2008-10-19 - 2008-10-25,+94%
2008-10-26 - 2008-11-01,+63%
2008-11-02 - 2008-11-08,+97%
2008-11-09 - 2008-11-15,+63%
2008-11-16 - 2008-11-22,+63%
2008-11-23 - 2008-11-29,+78%
2008-11-30 - 2008-12-06,+72%
2008-12-07 - 2008-12-13,+91%
2008-12-14 - 2008-12-20,+69%
2008-12-21 - 2008-12-27,+50%
2008-12-28 - 2009-01-03,+47%
2009-01-04 - 2009-01-10,+56%
2009-01-11 - 2009-01-17,+59%
2009-01-18 - 2009-01-24,+63%
2009-01-25 - 2009-01-31,+66%
2009-02-01 - 2009-02-07,+75%
2009-02-08 - 2009-02-14,+69%
2009-02-15 - 2009-02-21,+63%
2009-02-22 - 2009-02-28,+94%
2009-03-01 - 2009-03-07,+69%
2009-03-08 - 2009-03-14,+116%
2009-03-15 - 2009-03-21,+97%
2009-03-22 - 2009-03-28,+69%
2009-03-29 - 2009-04-04,+66%
2009-04-05 - 2009-04-11,+97%
2009-04-12 - 2009-04-18,+116%
2009-04-19 - 2009-04-25,+91%
2009-04-26 - 2009-05-02,+94%
2009-05-03 - 2009-05-09,+106%
2009-05-10 - 2009-05-16,+94%
2009-05-17 - 2009-05-23,+81%
2009-05-24 - 2009-05-30,+113%
2009-05-31 - 2009-06-06,+75%
2009-06-07 - 2009-06-13,+94%
2009-06-14 - 2009-06-20,+91%
2009-06-21 - 2009-06-27,+63%
2009-06-28 - 2009-07-04,+69%
2009-07-05 - 2009-07-11,+72%
2009-07-12 - 2009-07-18,+66%
2009-07-19 - 2009-07-25,+63%
2009-07-26 - 2009-08-01,+69%
2009-08-02 - 2009-08-08,+81%
2009-08-09 - 2009-08-15,+81%
2009-08-16 - 2009-08-22,+100%
2009-08-23 - 2009-08-29,+166%
2009-08-30 - 2009-09-05,+84%
2009-09-06 - 2009-09-12,+97%
2009-09-13 - 2009-09-19,+122%
2009-09-20 - 2009-09-26,+88%
2009-09-27 - 2009-10-03,+97%
2009-10-04 - 2009-10-10,+53%
2009-10-11 - 2009-10-17,+53%
2009-10-18 - 2009-10-24,+103%
2009-10-25 - 2009-10-31,+66%
2009-11-01 - 2009-11-07,+100%
2009-11-08 - 2009-11-14,+69%
2009-11-15 - 2009-11-21,+66%
2009-11-22 - 2009-11-28,+78%
2009-11-29 - 2009-12-05,+63%
2009-12-06 - 2009-12-12,+100%
2009-12-13 - 2009-12-19,+88%
2009-12-20 - 2009-12-26,+53%
2009-12-27 - 2010-01-02,+38%
2010-01-03 - 2010-01-09,+44%
2010-01-10 - 2010-01-16,+69%
2010-01-17 - 2010-01-23,+66%
2010-01-24 - 2010-01-30,+91%
2010-01-31 - 2010-02-06,+59%
2010-02-07 - 2010-02-13,+69%
2010-02-14 - 2010-02-20,+94%
2010-02-21 - 2010-02-27,+91%
2010-02-28 - 2010-03-06,+75%
2010-03-07 - 2010-03-13,+113%
2010-03-14 - 2010-03-20,+134%
2010-03-21 - 2010-03-27,+84%
2010-03-28 - 2010-04-03,+103%
2010-04-04 - 2010-04-10,+122%
2010-04-11 - 2010-04-17,+81%
2010-04-18 - 2010-04-24,+97%
2010-04-25 - 2010-05-01,+109%
2010-05-02 - 2010-05-08,+84%
2010-05-09 - 2010-05-15,+91%
2010-05-16 - 2010-05-22,+100%
2010-05-23 - 2010-05-29,+84%
2010-05-30 - 2010-06-05,+78%
2010-06-06 - 2010-06-12,+91%
2010-06-13 - 2010-06-19,+153%
2010-06-20 - 2010-06-26,+213%
2010-06-27 - 2010-07-03,+100%
2010-07-04 - 2010-07-10,+103%
2010-07-11 - 2010-07-17,+84%
2010-07-18 - 2010-07-24,+72%
2010-07-25 - 2010-07-31,+75%
2010-08-01 - 2010-08-07,+91%
2010-08-08 - 2010-08-14,+88%
2010-08-15 - 2010-08-21,+103%
2010-08-22 - 2010-08-28,+169%
2010-08-29 - 2010-09-04,+109%
2010-09-05 - 2010-09-11,+88%
2010-09-12 - 2010-09-18,+138%
2010-09-19 - 2010-09-25,+100%
2010-09-26 - 2010-10-02,+134%
2010-10-03 - 2010-10-09,+84%
2010-10-10 - 2010-10-16,+84%
2010-10-17 - 2010-10-23,+113%
2010-10-24 - 2010-10-30,+106%
2010-10-31 - 2010-11-06,+125%
2010-11-07 - 2010-11-13,+103%
2010-11-14 - 2010-11-20,+94%
2010-11-21 - 2010-11-27,+122%
2010-11-28 - 2010-12-04,+97%
2010-12-05 - 2010-12-11,+113%
2010-12-12 - 2010-12-18,+122%
2010-12-19 - 2010-12-25,+66%
2010-12-26 - 2011-01-01,+53%
2011-01-02 - 2011-01-08,+56%
2011-01-09 - 2011-01-15,+72%
2011-01-16 - 2011-01-22,+78%
2011-01-23 - 2011-01-29,+75%
2011-01-30 - 2011-02-05,+84%
2011-02-06 - 2011-02-12,+84%
2011-02-13 - 2011-02-19,+116%
2011-02-20 - 2011-02-26,+116%
2011-02-27 - 2011-03-05,+88%
2011-03-06 - 2011-03-12,+113%
2011-03-13 - 2011-03-19,+125%
2011-03-20 - 2011-03-26,+75%
2011-03-27 - 2011-04-02,+69%
2011-04-03 - 2011-04-09,+100%
2011-04-10 - 2011-04-16,+109%
2011-04-17 - 2011-04-23,+109%
2011-04-24 - 2011-04-30,+128%
2011-05-01 - 2011-05-07,+122%
2011-05-08 - 2011-05-14,+113%
2011-05-15 - 2011-05-21,+113%
2011-05-22 - 2011-05-28,+125%
2011-05-29 - 2011-06-04,+109%
2011-06-05 - 2011-06-11,+66%
2011-06-12 - 2011-06-18,+53%
2011-06-19 - 2011-06-25,+50%
2011-06-26 - 2011-07-02,+53%
2011-07-03 - 2011-07-09,+50%
2011-07-10 - 2011-07-16,+56%
2011-07-17 - 2011-07-23,+56%
2011-07-24 - 2011-07-30,+75%
2011-07-31 - 2011-08-06,+78%
2011-08-07 - 2011-08-13,+88%
2011-08-14 - 2011-08-20,+113%
2011-08-21 - 2011-08-27,+166%
2011-08-28 - 2011-09-03,+116%
2011-09-04 - 2011-09-10,+94%
2011-09-11 - 2011-09-17,+141%
2011-09-18 - 2011-09-24,+109%
2011-09-25 - 2011-10-01,+113%
2011-10-02 - 2011-10-08,+72%
2011-10-09 - 2011-10-15,+66%
2011-10-16 - 2011-10-22,+106%
2011-10-23 - 2011-10-29,+103%
2011-10-30 - 2011-11-05,+106%
2011-11-06 - 2011-11-12,+81%
2011-11-13 - 2011-11-19,+75%
2011-11-20 - 2011-11-26,+109%
2011-11-27 - 2011-12-03,+84%
2011-12-04 - 2011-12-10,+153%
2011-12-11 - 2011-12-17,+125%
2011-12-18 - 2011-12-24,+88%
2011-12-25 - 2011-12-31,+66%
2012-01-01 - 2012-01-07,+66%
2012-01-08 - 2012-01-14,+84%
2012-01-15 - 2012-01-21,+94%
2012-01-22 - 2012-01-28,+122%
2012-01-29 - 2012-02-04,+94%
2012-02-05 - 2012-02-11,+88%
2012-02-12 - 2012-02-18,+103%
2012-02-19 - 2012-02-25,+113%
2012-02-26 - 2012-03-03,+94%
2012-03-04 - 2012-03-10,+109%
2012-03-11 - 2012-03-17,+172%
2012-03-18 - 2012-03-24,+94%
2012-03-25 - 2012-03-31,+113%
2012-04-01 - 2012-04-07,+122%
2012-04-08 - 2012-04-14,+119%
2012-04-15 - 2012-04-21,+116%
2012-04-22 - 2012-04-28,+138%
2012-04-29 - 2012-05-05,+119%
2012-05-06 - 2012-05-12,+109%
2012-05-13 - 2012-05-19,+141%
2012-05-20 - 2012-05-26,+91%
2012-05-27 - 2012-06-02,+81%
2012-06-03 - 2012-06-09,+91%
2012-06-10 - 2012-06-16,+138%
2012-06-17 - 2012-06-23,+134%
2012-06-24 - 2012-06-30,+113%
2012-07-01 - 2012-07-07,+78%
2012-07-08 - 2012-07-14,+63%
2012-07-15 - 2012-07-21,+63%
2012-07-22 - 2012-07-28,+69%
2012-07-29 - 2012-08-04,+88%
2012-08-05 - 2012-08-11,+97%
2012-08-12 - 2012-08-18,+88%
2012-08-19 - 2012-08-25,+97%
2012-08-26 - 2012-09-01,+197%
2012-09-02 - 2012-09-08,+125%
2012-09-09 - 2012-09-15,+100%
2012-09-16 - 2012-09-22,+175%
2012-09-23 - 2012-09-29,+106%
2012-09-30 - 2012-10-06,+131%
2012-10-07 - 2012-10-13,+84%
2012-10-14 - 2012-10-20,+81%
2012-10-21 - 2012-10-27,+113%
2012-10-28 - 2012-11-03,+113%
2012-11-04 - 2012-11-10,+131%
2012-11-11 - 2012-11-17,+106%
2012-11-18 - 2012-11-24,+128%
2012-11-25 - 2012-12-01, 



Top searches
livescore,100
ronaldo,85
ronaldo cristiano,75
champions ligue,45
ligue des champions,40
score live,35
l equipe,35
abola,25
record,20
amandine,15
gazzetta,15
bbc sport,15
gazzetta dello sport,15
ligue des champion,15
lequipe foot,10
la ligue,10
equipe fr,10
kto,10
a bola,10
mundo deportivo,10



Rising searches
livescore,+300%
lequipe foot,+200%
record,+130%
score live,+120%
abola,+110%
ligue des champions,+70%
l equipe,+50%



