Web Search Interest
United States; 2004 - present

Interest over time
Week,Puzzles & Brainteasers
2007-06-03 - 2007-06-09,+44%
2007-06-10 - 2007-06-16,+44%
2007-06-17 - 2007-06-23,+30%
2007-06-24 - 2007-06-30,+24%
2007-07-01 - 2007-07-07,+30%
2007-07-08 - 2007-07-14,+26%
2007-07-15 - 2007-07-21,+24%
2007-07-22 - 2007-07-28,+12%
2007-07-29 - 2007-08-04,+10%
2007-08-05 - 2007-08-11,+12%
2007-08-12 - 2007-08-18,+14%
2007-08-19 - 2007-08-25,+22%
2007-08-26 - 2007-09-01,+22%
2007-09-02 - 2007-09-08,+22%
2007-09-09 - 2007-09-15,+28%
2007-09-16 - 2007-09-22,+28%
2007-09-23 - 2007-09-29,+30%
2007-09-30 - 2007-10-06,+30%
2007-10-07 - 2007-10-13,+32%
2007-10-14 - 2007-10-20,+38%
2007-10-21 - 2007-10-27,+46%
2007-10-28 - 2007-11-03,+50%
2007-11-04 - 2007-11-10,+46%
2007-11-11 - 2007-11-17,+56%
2007-11-18 - 2007-11-24,+68%
2007-11-25 - 2007-12-01,+60%
2007-12-02 - 2007-12-08,+66%
2007-12-09 - 2007-12-15,+66%
2007-12-16 - 2007-12-22,+80%
2007-12-23 - 2007-12-29,+84%
2007-12-30 - 2008-01-05,+60%
2008-01-06 - 2008-01-12,+52%
2008-01-13 - 2008-01-19,+52%
2008-01-20 - 2008-01-26,+52%
2008-01-27 - 2008-02-02,+50%
2008-02-03 - 2008-02-09,+48%
2008-02-10 - 2008-02-16,+48%
2008-02-17 - 2008-02-23,+50%
2008-02-24 - 2008-03-01,+52%
2008-03-02 - 2008-03-08,+54%
2008-03-09 - 2008-03-15,+50%
2008-03-16 - 2008-03-22,+50%
2008-03-23 - 2008-03-29,+48%
2008-03-30 - 2008-04-05,+50%
2008-04-06 - 2008-04-12,+48%
2008-04-13 - 2008-04-19,+48%
2008-04-20 - 2008-04-26,+52%
2008-04-27 - 2008-05-03,+54%
2008-05-04 - 2008-05-10,+50%
2008-05-11 - 2008-05-17,+52%
2008-05-18 - 2008-05-24,+50%
2008-05-25 - 2008-05-31,+42%
2008-06-01 - 2008-06-07,+44%
2008-06-08 - 2008-06-14,+34%
2008-06-15 - 2008-06-21,+28%
2008-06-22 - 2008-06-28,+26%
2008-06-29 - 2008-07-05,+32%
2008-07-06 - 2008-07-12,+24%
2008-07-13 - 2008-07-19,+24%
2008-07-20 - 2008-07-26,+22%
2008-07-27 - 2008-08-02,+22%
2008-08-03 - 2008-08-09,+16%
2008-08-10 - 2008-08-16,+14%
2008-08-17 - 2008-08-23,+16%
2008-08-24 - 2008-08-30,+20%
2008-08-31 - 2008-09-06,+20%
2008-09-07 - 2008-09-13,+22%
2008-09-14 - 2008-09-20,+24%
2008-09-21 - 2008-09-27,+30%
2008-09-28 - 2008-10-04,+30%
2008-10-05 - 2008-10-11,+32%
2008-10-12 - 2008-10-18,+36%
2008-10-19 - 2008-10-25,+40%
2008-10-26 - 2008-11-01,+42%
2008-11-02 - 2008-11-08,+36%
2008-11-09 - 2008-11-15,+44%
2008-11-16 - 2008-11-22,+50%
2008-11-23 - 2008-11-29,+58%
2008-11-30 - 2008-12-06,+50%
2008-12-07 - 2008-12-13,+52%
2008-12-14 - 2008-12-20,+54%
2008-12-21 - 2008-12-27,+58%
2008-12-28 - 2009-01-03,+40%
2009-01-04 - 2009-01-10,+34%
2009-01-11 - 2009-01-17,+40%
