Web Search Interest
France; 2004 - present

Interest over time
Week,Family-Oriented Games & Activities
2008-11-30 - 2008-12-06,+248%
2008-12-07 - 2008-12-13,+262%
2008-12-14 - 2008-12-20,+286%
2008-12-21 - 2008-12-27,+376%
2008-12-28 - 2009-01-03,+300%
2009-01-04 - 2009-01-10,+214%
2009-01-11 - 2009-01-17,+219%
2009-01-18 - 2009-01-24,+224%
2009-01-25 - 2009-01-31,+238%
2009-02-01 - 2009-02-07,+238%
2009-02-08 - 2009-02-14,+267%
2009-02-15 - 2009-02-21,+305%
2009-02-22 - 2009-02-28,+290%
2009-03-01 - 2009-03-07,+257%
2009-03-08 - 2009-03-14,+248%
2009-03-15 - 2009-03-21,+243%
2009-03-22 - 2009-03-28,+238%
2009-03-29 - 2009-04-04,+233%
2009-04-05 - 2009-04-11,+276%
2009-04-12 - 2009-04-18,+276%
2009-04-19 - 2009-04-25,+257%
2009-04-26 - 2009-05-02,+267%
2009-05-03 - 2009-05-09,+248%
2009-05-10 - 2009-05-16,+214%
2009-05-17 - 2009-05-23,+252%
2009-05-24 - 2009-05-30,+205%
2009-05-31 - 2009-06-06,+214%
2009-06-07 - 2009-06-13,+205%
2009-06-14 - 2009-06-20,+200%
2009-06-21 - 2009-06-27,+205%
2009-06-28 - 2009-07-04,+238%
2009-07-05 - 2009-07-11,+224%
2009-07-12 - 2009-07-18,+224%
2009-07-19 - 2009-07-25,+205%
2009-07-26 - 2009-08-01,+214%
2009-08-02 - 2009-08-08,+205%
2009-08-09 - 2009-08-15,+205%
2009-08-16 - 2009-08-22,+210%
2009-08-23 - 2009-08-29,+224%
2009-08-30 - 2009-09-05,+219%
2009-09-06 - 2009-09-12,+171%
2009-09-13 - 2009-09-19,+167%
2009-09-20 - 2009-09-26,+152%
2009-09-27 - 2009-10-03,+133%
2009-10-04 - 2009-10-10,+143%
2009-10-11 - 2009-10-17,+143%
2009-10-18 - 2009-10-24,+148%
2009-10-25 - 2009-10-31,+210%
2009-11-01 - 2009-11-07,+190%
2009-11-08 - 2009-11-14,+162%
2009-11-15 - 2009-11-21,+148%
2009-11-22 - 2009-11-28,+167%
2009-11-29 - 2009-12-05,+157%
2009-12-06 - 2009-12-12,+162%
2009-12-13 - 2009-12-19,+171%
2009-12-20 - 2009-12-26,+243%
2009-12-27 - 2010-01-02,+214%
2010-01-03 - 2010-01-09,+133%
2010-01-10 - 2010-01-16,+138%
2010-01-17 - 2010-01-23,+143%
2010-01-24 - 2010-01-30,+148%
2010-01-31 - 2010-02-06,+143%
