Web Search Interest
Hong Kong; 2004 - present

Interest over time
Week,Performing Arts
2008-02-10 - 2008-02-16,+40%
2008-02-17 - 2008-02-23,+30%
2008-02-24 - 2008-03-01,+28%
2008-03-02 - 2008-03-08,+20%
2008-03-09 - 2008-03-15,+20%
2008-03-16 - 2008-03-22,+32%
2008-03-23 - 2008-03-29,+14%
2008-03-30 - 2008-04-05,+26%
2008-04-06 - 2008-04-12,+26%
2008-04-13 - 2008-04-19,+18%
2008-04-20 - 2008-04-26,+12%
2008-04-27 - 2008-05-03,+20%
2008-05-04 - 2008-05-10,+18%
2008-05-11 - 2008-05-17,+26%
2008-05-18 - 2008-05-24,+14%
2008-05-25 - 2008-05-31,+6%
2008-06-01 - 2008-06-07,+22%
2008-06-08 - 2008-06-14,+20%
2008-06-15 - 2008-06-21,+16%
2008-06-22 - 2008-06-28,+14%
2008-06-29 - 2008-07-05,+30%
2008-07-06 - 2008-07-12,+20%
2008-07-13 - 2008-07-19,+30%
2008-07-20 - 2008-07-26,+42%
2008-07-27 - 2008-08-02,+38%
2008-08-03 - 2008-08-09,+30%
2008-08-10 - 2008-08-16,+24%
2008-08-17 - 2008-08-23,+12%
2008-08-24 - 2008-08-30,+42%
2008-08-31 - 2008-09-06,+42%
2008-09-07 - 2008-09-13,+20%
2008-09-14 - 2008-09-20,+16%
2008-09-21 - 2008-09-27,+0%
2008-09-28 - 2008-10-04,+20%
2008-10-05 - 2008-10-11,+20%
2008-10-12 - 2008-10-18,+22%
2008-10-19 - 2008-10-25,+24%
2008-10-26 - 2008-11-01,+16%
2008-11-02 - 2008-11-08,+22%
2008-11-09 - 2008-11-15,+30%
2008-11-16 - 2008-11-22,+22%
2008-11-23 - 2008-11-29,+14%
2008-11-30 - 2008-12-06,+18%
2008-12-07 - 2008-12-13,+36%
2008-12-14 - 2008-12-20,+16%
2008-12-21 - 2008-12-27,+58%
2008-12-28 - 2009-01-03,+32%
2009-01-04 - 2009-01-10,+16%
2009-01-11 - 2009-01-17,+16%
2009-01-18 - 2009-01-24,+24%
2009-01-25 - 2009-01-31,+46%
2009-02-01 - 2009-02-07,+16%
2009-02-08 - 2009-02-14,+16%
2009-02-15 - 2009-02-21,+14%
2009-02-22 - 2009-02-28,+12%
2009-03-01 - 2009-03-07,+22%
2009-03-08 - 2009-03-14,+16%
2009-03-15 - 2009-03-21,+18%
2009-03-22 - 2009-03-28,+14%
2009-03-29 - 2009-04-04,+26%
2009-04-05 - 2009-04-11,+22%
2009-04-12 - 2009-04-18,+24%
2009-04-19 - 2009-04-25,+14%
2009-04-26 - 2009-05-02,+18%
2009-05-03 - 2009-05-09,+18%
2009-05-10 - 2009-05-16,+26%
2009-05-17 - 2009-05-23,+26%
2009-05-24 - 2009-05-30,+36%
2009-05-31 - 2009-06-06,+28%
2009-06-07 - 2009-06-13,+26%
2009-06-14 - 2009-06-20,+12%
2009-06-21 - 2009-06-27,+30%
2009-06-28 - 2009-07-04,+22%
2009-07-05 - 2009-07-11,+24%
2009-07-12 - 2009-07-18,+14%
2009-07-19 - 2009-07-25,+12%
2009-07-26 - 2009-08-01,+10%
2009-08-02 - 2009-08-08,+6%
2009-08-09 - 2009-08-15,+24%
2009-08-16 - 2009-08-22,+18%
2009-08-23 - 2009-08-29,+16%
2009-08-30 - 2009-09-05,+18%
2009-09-06 - 2009-09-12,+14%
2009-09-13 - 2009-09-19,+10%
2009-09-20 - 2009-09-26,+18%
2009-09-27 - 2009-10-03,+22%
2009-10-04 - 2009-10-10,+30%
2009-10-11 - 2009-10-17,+20%
2009-10-18 - 2009-10-24,+24%
2009-10-25 - 2009-10-31,+22%
2009-11-01 - 2009-11-07,+20%
2009-11-08 - 2009-11-14,+12%
2009-11-15 - 2009-11-21,+22%
2009-11-22 - 2009-11-28,+32%
2009-11-29 - 2009-12-05,+28%
2009-12-06 - 2009-12-12,+28%
2009-12-13 - 2009-12-19,+26%
2009-12-20 - 2009-12-26,+44%
2009-12-27 - 2010-01-02,+44%
2010-01-03 - 2010-01-09,+26%
2010-01-10 - 2010-01-16,+20%
2010-01-17 - 2010-01-23,+26%
2010-01-24 - 2010-01-30,+18%
2010-01-31 - 2010-02-06,+20%
2010-02-07 - 2010-02-13,+26%
2010-02-14 - 2010-02-20,+46%
2010-02-21 - 2010-02-27,+22%
2010-02-28 - 2010-03-06,+20%
2010-03-07 - 2010-03-13,+24%
2010-03-14 - 2010-03-20,+28%
2010-03-21 - 2010-03-27,+20%
2010-03-28 - 2010-04-03,+34%
2010-04-04 - 2010-04-10,+22%
2010-04-11 - 2010-04-17,+18%
2010-04-18 - 2010-04-24,+12%
2010-04-25 - 2010-05-01,+26%
2010-05-02 - 2010-05-08,+28%
2010-05-09 - 2010-05-15,+18%
2010-05-16 - 2010-05-22,+22%
2010-05-23 - 2010-05-29,+24%
2010-05-30 - 2010-06-05,+16%
2010-06-06 - 2010-06-12,+4%
2010-06-13 - 2010-06-19,+16%
2010-06-20 - 2010-06-26,+18%
2010-06-27 - 2010-07-03,+16%
2010-07-04 - 2010-07-10,+26%
2010-07-11 - 2010-07-17,+36%
2010-07-18 - 2010-07-24,+36%
2010-07-25 - 2010-07-31,+34%
2010-08-01 - 2010-08-07,+34%
2010-08-08 - 2010-08-14,+42%
2010-08-15 - 2010-08-21,+42%
2010-08-22 - 2010-08-28,+32%
2010-08-29 - 2010-09-04,+20%
2010-09-05 - 2010-09-11,+18%
2010-09-12 - 2010-09-18,+20%
2010-09-19 - 2010-09-25,+26%
2010-09-26 - 2010-10-02,+24%
2010-10-03 - 2010-10-09,+14%
