Web Search Interest
Germany; 2004 - present

Interest over time
Week,Winter Sports
2009-03-01 - 2009-03-07,-63%
2009-03-08 - 2009-03-14,-65%
2009-03-15 - 2009-03-21,-69%
2009-03-22 - 2009-03-28,-67%
2009-03-29 - 2009-04-04,-74%
2009-04-05 - 2009-04-11,-78%
2009-04-12 - 2009-04-18,-80%
2009-04-19 - 2009-04-25,-80%
2009-04-26 - 2009-05-02,-82%
2009-05-03 - 2009-05-09,-82%
2009-05-10 - 2009-05-16,-82%
2009-05-17 - 2009-05-23,-81%
2009-05-24 - 2009-05-30,-81%
2009-05-31 - 2009-06-06,-81%
2009-06-07 - 2009-06-13,-81%
2009-06-14 - 2009-06-20,-81%
2009-06-21 - 2009-06-27,-81%
2009-06-28 - 2009-07-04,-81%
2009-07-05 - 2009-07-11,-80%
2009-07-12 - 2009-07-18,-80%
2009-07-19 - 2009-07-25,-79%
2009-07-26 - 2009-08-01,-80%
2009-08-02 - 2009-08-08,-78%
2009-08-09 - 2009-08-15,-78%
2009-08-16 - 2009-08-22,-79%
2009-08-23 - 2009-08-29,-77%
2009-08-30 - 2009-09-05,-78%
2009-09-06 - 2009-09-12,-78%
2009-09-13 - 2009-09-19,-77%
2009-09-20 - 2009-09-26,-76%
2009-09-27 - 2009-10-03,-77%
2009-10-04 - 2009-10-10,-75%
2009-10-11 - 2009-10-17,-71%
2009-10-18 - 2009-10-24,-70%
2009-10-25 - 2009-10-31,-69%
2009-11-01 - 2009-11-07,-68%
2009-11-08 - 2009-11-14,-68%
2009-11-15 - 2009-11-21,-67%
2009-11-22 - 2009-11-28,-67%
2009-11-29 - 2009-12-05,-60%
2009-12-06 - 2009-12-12,-58%
2009-12-13 - 2009-12-19,-49%
2009-12-20 - 2009-12-26,-47%
2009-12-27 - 2010-01-02,-36%
2010-01-03 - 2010-01-09,-22%
2010-01-10 - 2010-01-16,-33%
2010-01-17 - 2010-01-23,-46%
2010-01-24 - 2010-01-30,-47%
2010-01-31 - 2010-02-06,-53%
2010-02-07 - 2010-02-13,-52%
2010-02-14 - 2010-02-20,-22%
2010-02-21 - 2010-02-27,-34%
2010-02-28 - 2010-03-06,-60%
2010-03-07 - 2010-03-13,-65%
2010-03-14 - 2010-03-20,-69%
2010-03-21 - 2010-03-27,-72%
2010-03-28 - 2010-04-03,-75%
2010-04-04 - 2010-04-10,-79%
2010-04-11 - 2010-04-17,-80%
2010-04-18 - 2010-04-24,-82%
