Web Search Interest
United States; 2004 - present

Interest over time
Week,Yard & Patio
2008-10-05 - 2008-10-11,+3%
2008-10-12 - 2008-10-18,-3%
2008-10-19 - 2008-10-25,-3%
2008-10-26 - 2008-11-01,-8%
2008-11-02 - 2008-11-08,-10%
2008-11-09 - 2008-11-15,-5%
2008-11-16 - 2008-11-22,-8%
2008-11-23 - 2008-11-29,-10%
2008-11-30 - 2008-12-06,-10%
2008-12-07 - 2008-12-13,-13%
2008-12-14 - 2008-12-20,-18%
2008-12-21 - 2008-12-27,-23%
2008-12-28 - 2009-01-03,-18%
2009-01-04 - 2009-01-10,-26%
2009-01-11 - 2009-01-17,-23%
2009-01-18 - 2009-01-24,-21%
2009-01-25 - 2009-01-31,-18%
2009-02-01 - 2009-02-07,-18%
2009-02-08 - 2009-02-14,-10%
2009-02-15 - 2009-02-21,-3%
2009-02-22 - 2009-02-28,-3%
2009-03-01 - 2009-03-07,+10%
2009-03-08 - 2009-03-14,+23%
2009-03-15 - 2009-03-21,+41%
2009-03-22 - 2009-03-28,+44%
2009-03-29 - 2009-04-04,+41%
2009-04-05 - 2009-04-11,+56%
2009-04-12 - 2009-04-18,+54%
2009-04-19 - 2009-04-25,+79%
2009-04-26 - 2009-05-02,+79%
2009-05-03 - 2009-05-09,+69%
2009-05-10 - 2009-05-16,+74%
2009-05-17 - 2009-05-23,+90%
2009-05-24 - 2009-05-30,+95%
2009-05-31 - 2009-06-06,+74%
2009-06-07 - 2009-06-13,+59%
2009-06-14 - 2009-06-20,+67%
2009-06-21 - 2009-06-27,+54%
2009-06-28 - 2009-07-04,+56%
2009-07-05 - 2009-07-11,+46%
2009-07-12 - 2009-07-18,+38%
2009-07-19 - 2009-07-25,+33%
2009-07-26 - 2009-08-01,+31%
2009-08-02 - 2009-08-08,+28%
2009-08-09 - 2009-08-15,+21%
2009-08-16 - 2009-08-22,+18%
2009-08-23 - 2009-08-29,+21%
2009-08-30 - 2009-09-05,+15%
2009-09-06 - 2009-09-12,+15%
2009-09-13 - 2009-09-19,+5%
2009-09-20 - 2009-09-26,+3%
2009-09-27 - 2009-10-03,+0%
2009-10-04 - 2009-10-10,-8%
2009-10-11 - 2009-10-17,-5%
2009-10-18 - 2009-10-24,-8%
2009-10-25 - 2009-10-31,-13%
2009-11-01 - 2009-11-07,-8%
2009-11-08 - 2009-11-14,-10%
2009-11-15 - 2009-11-21,-13%
2009-11-22 - 2009-11-28,-15%
2009-11-29 - 2009-12-05,-15%
2009-12-06 - 2009-12-12,-18%
2009-12-13 - 2009-12-19,-21%
2009-12-20 - 2009-12-26,-31%
2009-12-27 - 2010-01-02,-28%
2010-01-03 - 2010-01-09,-26%
2010-01-10 - 2010-01-16,-26%
2010-01-17 - 2010-01-23,-23%
2010-01-24 - 2010-01-30,-18%
2010-01-31 - 2010-02-06,-21%
2010-02-07 - 2010-02-13,-21%
2010-02-14 - 2010-02-20,-15%
2010-02-21 - 2010-02-27,-8%
2010-02-28 - 2010-03-06,+0%
2010-03-07 - 2010-03-13,+15%
2010-03-14 - 2010-03-20,+36%
2010-03-21 - 2010-03-27,+46%
2010-03-28 - 2010-04-03,+54%
2010-04-04 - 2010-04-10,+62%
2010-04-11 - 2010-04-17,+69%
2010-04-18 - 2010-04-24,+62%
2010-04-25 - 2010-05-01,+59%
2010-05-02 - 2010-05-08,+69%
2010-05-09 - 2010-05-15,+54%
2010-05-16 - 2010-05-22,+64%
2010-05-23 - 2010-05-29,+72%
2010-05-30 - 2010-06-05,+74%
2010-06-06 - 2010-06-12,+56%
2010-06-13 - 2010-06-19,+56%
2010-06-20 - 2010-06-26,+46%
2010-06-27 - 2010-07-03,+49%
2010-07-04 - 2010-07-10,+36%
2010-07-11 - 2010-07-17,+21%
2010-07-18 - 2010-07-24,+21%
2010-07-25 - 2010-07-31,+13%
2010-08-01 - 2010-08-07,+10%
2010-08-08 - 2010-08-14,+13%
2010-08-15 - 2010-08-21,+5%
2010-08-22 - 2010-08-28,+5%
2010-08-29 - 2010-09-04,+5%
2010-09-05 - 2010-09-11,+5%
2010-09-12 - 2010-09-18,-5%
2010-09-19 - 2010-09-25,-3%
2010-09-26 - 2010-10-02,-8%
2010-10-03 - 2010-10-09,-8%
2010-10-10 - 2010-10-16,-8%
2010-10-17 - 2010-10-23,-13%
2010-10-24 - 2010-10-30,-15%
2010-10-31 - 2010-11-06,-18%
2010-11-07 - 2010-11-13,-15%
2010-11-14 - 2010-11-20,-18%
2010-11-21 - 2010-11-27,-21%
2010-11-28 - 2010-12-04,-23%
2010-12-05 - 2010-12-11,-21%
2010-12-12 - 2010-12-18,-26%
2010-12-19 - 2010-12-25,-33%
2010-12-26 - 2011-01-01,-33%
2011-01-02 - 2011-01-08,-26%
2011-01-09 - 2011-01-15,-28%
2011-01-16 - 2011-01-22,-21%
2011-01-23 - 2011-01-29,-18%
2011-01-30 - 2011-02-05,-21%
2011-02-06 - 2011-02-12,-15%
2011-02-13 - 2011-02-19,-5%
