Web Search Interest
Italy; 2004 - present

Interest over time
Week,Fun & Trivia
2009-11-01 - 2009-11-07,+195%
2009-11-08 - 2009-11-14,+177%
2009-11-15 - 2009-11-21,+182%
2009-11-22 - 2009-11-28,+177%
2009-11-29 - 2009-12-05,+177%
2009-12-06 - 2009-12-12,+223%
2009-12-13 - 2009-12-19,+191%
2009-12-20 - 2009-12-26,+291%
2009-12-27 - 2010-01-02,+282%
2010-01-03 - 2010-01-09,+195%
2010-01-10 - 2010-01-16,+155%
2010-01-17 - 2010-01-23,+168%
2010-01-24 - 2010-01-30,+186%
2010-01-31 - 2010-02-06,+186%
2010-02-07 - 2010-02-13,+191%
2010-02-14 - 2010-02-20,+214%
2010-02-21 - 2010-02-27,+191%
2010-02-28 - 2010-03-06,+195%
2010-03-07 - 2010-03-13,+195%
2010-03-14 - 2010-03-20,+195%
2010-03-21 - 2010-03-27,+200%
2010-03-28 - 2010-04-03,+236%
2010-04-04 - 2010-04-10,+205%
2010-04-11 - 2010-04-17,+177%
2010-04-18 - 2010-04-24,+177%
2010-04-25 - 2010-05-01,+186%
2010-05-02 - 2010-05-08,+173%
2010-05-09 - 2010-05-15,+186%
2010-05-16 - 2010-05-22,+195%
2010-05-23 - 2010-05-29,+195%
2010-05-30 - 2010-06-05,+227%
2010-06-06 - 2010-06-12,+218%
2010-06-13 - 2010-06-19,+232%
2010-06-20 - 2010-06-26,+218%
2010-06-27 - 2010-07-03,+209%
2010-07-04 - 2010-07-10,+191%
2010-07-11 - 2010-07-17,+195%
2010-07-18 - 2010-07-24,+182%
2010-07-25 - 2010-07-31,+186%
2010-08-01 - 2010-08-07,+195%
2010-08-08 - 2010-08-14,+209%
2010-08-15 - 2010-08-21,+195%
2010-08-22 - 2010-08-28,+186%
2010-08-29 - 2010-09-04,+195%
2010-09-05 - 2010-09-11,+195%
2010-09-12 - 2010-09-18,+168%
2010-09-19 - 2010-09-25,+155%
2010-09-26 - 2010-10-02,+155%
2010-10-03 - 2010-10-09,+155%
2010-10-10 - 2010-10-16,+173%
2010-10-17 - 2010-10-23,+155%
2010-10-24 - 2010-10-30,+155%
2010-10-31 - 2010-11-06,+195%
2010-11-07 - 2010-11-13,+155%
2010-11-14 - 2010-11-20,+173%
2010-11-21 - 2010-11-27,+168%
2010-11-28 - 2010-12-04,+164%
2010-12-05 - 2010-12-11,+191%
2010-12-12 - 2010-12-18,+168%
2010-12-19 - 2010-12-25,+232%
2010-12-26 - 2011-01-01,+264%
2011-01-02 - 2011-01-08,+227%
2011-01-09 - 2011-01-15,+150%
2011-01-16 - 2011-01-22,+159%
2011-01-23 - 2011-01-29,+164%
2011-01-30 - 2011-02-05,+168%
2011-02-06 - 2011-02-12,+164%
2011-02-13 - 2011-02-19,+164%
2011-02-20 - 2011-02-26,+164%
2011-02-27 - 2011-03-05,+168%
2011-03-06 - 2011-03-12,+186%
2011-03-13 - 2011-03-19,+191%
2011-03-20 - 2011-03-26,+164%
2011-03-27 - 2011-04-02,+164%
2011-04-03 - 2011-04-09,+173%
2011-04-10 - 2011-04-16,+164%
2011-04-17 - 2011-04-23,+209%
2011-04-24 - 2011-04-30,+191%
2011-05-01 - 2011-05-07,+159%
2011-05-08 - 2011-05-14,+155%
2011-05-15 - 2011-05-21,+164%
2011-05-22 - 2011-05-28,+168%
2011-05-29 - 2011-06-04,+205%
2011-06-05 - 2011-06-11,+195%
2011-06-12 - 2011-06-18,+195%
2011-06-19 - 2011-06-25,+191%
2011-06-26 - 2011-07-02,+191%
2011-07-03 - 2011-07-09,+186%
2011-07-10 - 2011-07-16,+177%
2011-07-17 - 2011-07-23,+182%
2011-07-24 - 2011-07-30,+191%
2011-07-31 - 2011-08-06,+191%
2011-08-07 - 2011-08-13,+214%
2011-08-14 - 2011-08-20,+209%
2011-08-21 - 2011-08-27,+186%
2011-08-28 - 2011-09-03,+195%
2011-09-04 - 2011-09-10,+205%
2011-09-11 - 2011-09-17,+155%
2011-09-18 - 2011-09-24,+145%
2011-09-25 - 2011-10-01,+145%
2011-10-02 - 2011-10-08,+145%
2011-10-09 - 2011-10-15,+141%
2011-10-16 - 2011-10-22,+127%
2011-10-23 - 2011-10-29,+127%
2011-10-30 - 2011-11-05,+177%
2011-11-06 - 2011-11-12,+136%
2011-11-13 - 2011-11-19,+141%
2011-11-20 - 2011-11-26,+145%
2011-11-27 - 2011-12-03,+150%
2011-12-04 - 2011-12-10,+182%
2011-12-11 - 2011-12-17,+145%
2011-12-18 - 2011-12-24,+195%
2011-12-25 - 2011-12-31,+245%
2012-01-01 - 2012-01-07,+218%
2012-01-08 - 2012-01-14,+136%
2012-01-15 - 2012-01-21,+159%
2012-01-22 - 2012-01-28,+159%
2012-01-29 - 2012-02-04,+177%
2012-02-05 - 2012-02-11,+173%
2012-02-12 - 2012-02-18,+164%
2012-02-19 - 2012-02-25,+168%
2012-02-26 - 2012-03-03,+145%
2012-03-04 - 2012-03-10,+145%
2012-03-11 - 2012-03-17,+132%
2012-03-18 - 2012-03-24,+141%
2012-03-25 - 2012-03-31,+136%
2012-04-01 - 2012-04-07,+186%
2012-04-08 - 2012-04-14,+164%
2012-04-15 - 2012-04-21,+141%
2012-04-22 - 2012-04-28,+159%
2012-04-29 - 2012-05-05,+173%
2012-05-06 - 2012-05-12,+155%
2012-05-13 - 2012-05-19,+159%
2012-05-20 - 2012-05-26,+164%
2012-05-27 - 2012-06-02,+168%
2012-06-03 - 2012-06-09,+186%
2012-06-10 - 2012-06-16,+200%
2012-06-17 - 2012-06-23,+195%
2012-06-24 - 2012-06-30,+182%
2012-07-01 - 2012-07-07,+168%
2012-07-08 - 2012-07-14,+155%
2012-07-15 - 2012-07-21,+150%
2012-07-22 - 2012-07-28,+155%
2012-07-29 - 2012-08-04,+150%
2012-08-05 - 2012-08-11,+164%
2012-08-12 - 2012-08-18,+164%
2012-08-19 - 2012-08-25,+159%
2012-08-26 - 2012-09-01,+155%
2012-09-02 - 2012-09-08,+155%
2012-09-09 - 2012-09-15,+136%
2012-09-16 - 2012-09-22,+109%
2012-09-23 - 2012-09-29,+114%
2012-09-30 - 2012-10-06,+118%
2012-10-07 - 2012-10-13,+118%
2012-10-14 - 2012-10-20,+114%
2012-10-21 - 2012-10-27,+114%
2012-10-28 - 2012-11-03,+159%
2012-11-04 - 2012-11-10,+127%
2012-11-11 - 2012-11-17,+127%
2012-11-18 - 2012-11-24, 
2012-11-25 - 2012-12-01, 



Top searches
giochi,100
giochi ragazze,75
giochi per ragazze,65
flashgames,45
flash,25
giochi di,25
stardoll,25
friv,15
games,15
giochi di ragazze,15
test,15
flash games,10
vestire,10
quiz,5
giochi cucina,5
barbie,5
giochi moda,5
flashgame,5
giochi di cucina,5
girlsgogames,5



Rising searches
flashgame,Breakout
friv,Breakout
giochi cucina,Breakout
giochi di ragazze,Breakout
giochi moda,Breakout
giochi per ragazze,Breakout
giochi ragazze,Breakout
stardoll,Breakout
vestire,Breakout
flashgames,+1,950%



