Web Search Interest
France; 2004 - present

Interest over time
Week,Literary Classics
2012-11-25 - 2012-12-01, 



Top searches
victor hugo,100
maupassant,65
emmanuel,55
sherlock,40
racine,40
candide,40
sherlock holmes,35
molière,35
shakespeare,35
corneille,30
exupery,25
proust,25
guy de maupassant,20
roméo,20
guy maupassant,20
moliere,20
voltaire,20
roméo et juliette,20
romeo,20
seigneur des anneaux,20



Rising searches
sherlock holmes,+250%
sherlock,+200%
st exupery,+100%
roméo,+80%
exupery,+60%
les misérables,+60%
roméo et juliette,+60%
saint exupery,+50%
hemingway,+40%
moliere,+40%



