Web Search Interest
Portugal; 2004 - present

Interest over time
Week,Fan Fiction
2008-10-26 - 2008-11-01,+10%
2008-11-02 - 2008-11-08,+0%
2008-11-09 - 2008-11-15,+10%
2008-11-16 - 2008-11-22,+7%
2008-11-23 - 2008-11-29,+24%
2008-11-30 - 2008-12-06,+31%
2008-12-07 - 2008-12-13,+17%
2008-12-14 - 2008-12-20,+24%
2008-12-21 - 2008-12-27,+86%
2008-12-28 - 2009-01-03,+41%
2009-01-04 - 2009-01-10,+24%
2009-01-11 - 2009-01-17,+17%
2009-01-18 - 2009-01-24,+59%
2009-01-25 - 2009-01-31,+17%
2009-02-01 - 2009-02-07,+24%
2009-02-08 - 2009-02-14,+28%
2009-02-15 - 2009-02-21,+31%
2009-02-22 - 2009-02-28,+45%
2009-03-01 - 2009-03-07,+48%
2009-03-08 - 2009-03-14,+48%
2009-03-15 - 2009-03-21,+34%
2009-03-22 - 2009-03-28,+21%
2009-03-29 - 2009-04-04,+52%
2009-04-05 - 2009-04-11,+41%
2009-04-12 - 2009-04-18,+41%
2009-04-19 - 2009-04-25,+17%
2009-04-26 - 2009-05-02,+31%
2009-05-03 - 2009-05-09,+17%
2009-05-10 - 2009-05-16,+14%
2009-05-17 - 2009-05-23,+28%
2009-05-24 - 2009-05-30,+31%
2009-05-31 - 2009-06-06,+17%
2009-06-07 - 2009-06-13,+34%
2009-06-14 - 2009-06-20,+28%
2009-06-21 - 2009-06-27,+45%
2009-06-28 - 2009-07-04,+59%
2009-07-05 - 2009-07-11,+34%
2009-07-12 - 2009-07-18,+17%
2009-07-19 - 2009-07-25,+28%
2009-07-26 - 2009-08-01,+52%
2009-08-02 - 2009-08-08,+41%
2009-08-09 - 2009-08-15,+41%
2009-08-16 - 2009-08-22,+28%
2009-08-23 - 2009-08-29,+41%
2009-08-30 - 2009-09-05,+41%
2009-09-06 - 2009-09-12,+52%
2009-09-13 - 2009-09-19,+55%
2009-09-20 - 2009-09-26,+14%
2009-09-27 - 2009-10-03,+24%
2009-10-04 - 2009-10-10,+38%
2009-10-11 - 2009-10-17,+17%
2009-10-18 - 2009-10-24,+10%
2009-10-25 - 2009-10-31,+28%
2009-11-01 - 2009-11-07,+17%
2009-11-08 - 2009-11-14,+34%
2009-11-15 - 2009-11-21,+21%
2009-11-22 - 2009-11-28,+28%
2009-11-29 - 2009-12-05,+38%
2009-12-06 - 2009-12-12,+21%
2009-12-13 - 2009-12-19,+34%
2009-12-20 - 2009-12-26,+72%
2009-12-27 - 2010-01-02,+69%
2010-01-03 - 2010-01-09,+24%
2010-01-10 - 2010-01-16,+21%
2010-01-17 - 2010-01-23,+17%
2010-01-24 - 2010-01-30,+14%
2010-01-31 - 2010-02-06,+24%
2010-02-07 - 2010-02-13,+24%
2010-02-14 - 2010-02-20,+28%
2010-02-21 - 2010-02-27,+7%
2010-02-28 - 2010-03-06,+10%
2010-03-07 - 2010-03-13,+28%
2010-03-14 - 2010-03-20,+24%
2010-03-21 - 2010-03-27,+38%
2010-03-28 - 2010-04-03,+59%
2010-04-04 - 2010-04-10,+52%
2010-04-11 - 2010-04-17,+38%
2010-04-18 - 2010-04-24,+28%
2010-04-25 - 2010-05-01,+28%
2010-05-02 - 2010-05-08,+21%
2010-05-09 - 2010-05-15,+14%
2010-05-16 - 2010-05-22,+24%
2010-05-23 - 2010-05-29,+17%
2010-05-30 - 2010-06-05,+21%
2010-06-06 - 2010-06-12,+34%
2010-06-13 - 2010-06-19,+38%
2010-06-20 - 2010-06-26,+45%
2010-06-27 - 2010-07-03,+34%
2010-07-04 - 2010-07-10,+28%
2010-07-11 - 2010-07-17,+28%
2010-07-18 - 2010-07-24,+34%
2010-07-25 - 2010-07-31,+41%
2010-08-01 - 2010-08-07,+34%
2010-08-08 - 2010-08-14,+45%
2010-08-15 - 2010-08-21,+45%
2010-08-22 - 2010-08-28,+48%
2010-08-29 - 2010-09-04,+48%
2010-09-05 - 2010-09-11,+79%
2010-09-12 - 2010-09-18,+52%
2010-09-19 - 2010-09-25,+31%
2010-09-26 - 2010-10-02,+41%
2010-10-03 - 2010-10-09,+34%
2010-10-10 - 2010-10-16,+24%
2010-10-17 - 2010-10-23,+28%
2010-10-24 - 2010-10-30,+48%
2010-10-31 - 2010-11-06,+28%
2010-11-07 - 2010-11-13,+21%
2010-11-14 - 2010-11-20,+21%
2010-11-21 - 2010-11-27,+28%
2010-11-28 - 2010-12-04,+48%
2010-12-05 - 2010-12-11,+48%
2010-12-12 - 2010-12-18,+17%
2010-12-19 - 2010-12-25,+90%
2010-12-26 - 2011-01-01,+38%
2011-01-02 - 2011-01-08,+17%
2011-01-09 - 2011-01-15,+38%
2011-01-16 - 2011-01-22,+34%
2011-01-23 - 2011-01-29,+34%
2011-01-30 - 2011-02-05,+31%
2011-02-06 - 2011-02-12,+17%
2011-02-13 - 2011-02-19,+34%
2011-02-20 - 2011-02-26,+24%
2011-02-27 - 2011-03-05,+17%
2011-03-06 - 2011-03-12,+21%
2011-03-13 - 2011-03-19,+14%
2011-03-20 - 2011-03-26,+24%
2011-03-27 - 2011-04-02,+21%
2011-04-03 - 2011-04-09,+17%
2011-04-10 - 2011-04-16,+38%
2011-04-17 - 2011-04-23,+34%
2011-04-24 - 2011-04-30,+28%
2011-05-01 - 2011-05-07,+31%
2011-05-08 - 2011-05-14,+17%
2011-05-15 - 2011-05-21,+28%
2011-05-22 - 2011-05-28,+31%
2011-05-29 - 2011-06-04,+17%
2011-06-05 - 2011-06-11,+21%
2011-06-12 - 2011-06-18,+41%
2011-06-19 - 2011-06-25,+28%
2011-06-26 - 2011-07-02,+34%
2011-07-03 - 2011-07-09,+28%
2011-07-10 - 2011-07-16,+31%
2011-07-17 - 2011-07-23,+31%
2011-07-24 - 2011-07-30,+31%
2011-07-31 - 2011-08-06,+55%
2011-08-07 - 2011-08-13,+45%
2011-08-14 - 2011-08-20,+48%
2011-08-21 - 2011-08-27,+52%
2011-08-28 - 2011-09-03,+59%
2011-09-04 - 2011-09-10,+62%
2011-09-11 - 2011-09-17,+59%
2011-09-18 - 2011-09-24,+38%
2011-09-25 - 2011-10-01,+31%
2011-10-02 - 2011-10-08,+34%
2011-10-09 - 2011-10-15,+45%
2011-10-16 - 2011-10-22,+38%
2011-10-23 - 2011-10-29,+34%
2011-10-30 - 2011-11-05,+31%
2011-11-06 - 2011-11-12,+38%
2011-11-13 - 2011-11-19,+31%
2011-11-20 - 2011-11-26,+28%
2011-11-27 - 2011-12-03,+24%
2011-12-04 - 2011-12-10,+34%
2011-12-11 - 2011-12-17,+31%
2011-12-18 - 2011-12-24,+31%
2011-12-25 - 2011-12-31,+38%
2012-01-01 - 2012-01-07,+31%
2012-01-08 - 2012-01-14,+45%
2012-01-15 - 2012-01-21,+38%
2012-01-22 - 2012-01-28,+45%
2012-01-29 - 2012-02-04,+28%
2012-02-05 - 2012-02-11,+34%
2012-02-12 - 2012-02-18,+21%
2012-02-19 - 2012-02-25,+28%
2012-02-26 - 2012-03-03,+62%
2012-03-04 - 2012-03-10,+21%
2012-03-11 - 2012-03-17,+28%
2012-03-18 - 2012-03-24,+34%
2012-03-25 - 2012-03-31,+28%
2012-04-01 - 2012-04-07,+38%
2012-04-08 - 2012-04-14,+48%
2012-04-15 - 2012-04-21,+31%
2012-04-22 - 2012-04-28,+45%
2012-04-29 - 2012-05-05,+38%
2012-05-06 - 2012-05-12,+45%
2012-05-13 - 2012-05-19,+48%
2012-05-20 - 2012-05-26,+34%
2012-05-27 - 2012-06-02,+24%
2012-06-03 - 2012-06-09,+41%
2012-06-10 - 2012-06-16,+41%
2012-06-17 - 2012-06-23,+62%
2012-06-24 - 2012-06-30,+66%
2012-07-01 - 2012-07-07,+62%
2012-07-08 - 2012-07-14,+79%
2012-07-15 - 2012-07-21,+55%
2012-07-22 - 2012-07-28,+72%
2012-07-29 - 2012-08-04,+72%
2012-08-05 - 2012-08-11,+69%
2012-08-12 - 2012-08-18,+69%
2012-08-19 - 2012-08-25,+72%
2012-08-26 - 2012-09-01,+59%
2012-09-02 - 2012-09-08,+76%
2012-09-09 - 2012-09-15,+79%
2012-09-16 - 2012-09-22,+52%
2012-09-23 - 2012-09-29,+41%
2012-09-30 - 2012-10-06,+38%
2012-10-07 - 2012-10-13,+24%
2012-10-14 - 2012-10-20,+21%
2012-10-21 - 2012-10-27,+24%
2012-10-28 - 2012-11-03,+34%
2012-11-04 - 2012-11-10,+24%
2012-11-11 - 2012-11-17,+41%
2012-11-18 - 2012-11-24, 
2012-11-25 - 2012-12-01, 



Top searches
fanfiction,100
ss,65
eragon,55
vampire diaries,45
mermaid,45
nicholas sparks,45
fanfic,45
mermaid melody,45
final fantasy,30
nyah,30
the vampire diaries,25
fansub,25
pj harvey,25
nicholas sparks livros,20
fanfics,20
punch,15
yes,15
punch fansub,15
nyah fanfiction,15
fics,15



Rising searches
fanfic,Breakout
fansub,Breakout
mermaid,Breakout
mermaid melody,Breakout
nicholas sparks,Breakout
nyah,Breakout
ss,Breakout
the vampire diaries,Breakout
vampire diaries,Breakout
fanfiction,+180%



