Web Search Interest
Portugal; 2004 - present

Interest over time
Week,Libraries & Museums
2008-03-23 - 2008-03-29,-42%
2008-03-30 - 2008-04-05,-37%
2008-04-06 - 2008-04-12,-36%
2008-04-13 - 2008-04-19,-34%
2008-04-20 - 2008-04-26,-40%
2008-04-27 - 2008-05-03,-48%
2008-05-04 - 2008-05-10,-39%
2008-05-11 - 2008-05-17,-31%
2008-05-18 - 2008-05-24,-40%
2008-05-25 - 2008-05-31,-46%
2008-06-01 - 2008-06-07,-45%
2008-06-08 - 2008-06-14,-49%
2008-06-15 - 2008-06-21,-46%
2008-06-22 - 2008-06-28,-42%
2008-06-29 - 2008-07-05,-48%
2008-07-06 - 2008-07-12,-48%
2008-07-13 - 2008-07-19,-48%
2008-07-20 - 2008-07-26,-51%
2008-07-27 - 2008-08-02,-57%
2008-08-03 - 2008-08-09,-57%
2008-08-10 - 2008-08-16,-54%
2008-08-17 - 2008-08-23,-55%
2008-08-24 - 2008-08-30,-58%
2008-08-31 - 2008-09-06,-51%
2008-09-07 - 2008-09-13,-52%
2008-09-14 - 2008-09-20,-43%
2008-09-21 - 2008-09-27,-45%
2008-09-28 - 2008-10-04,-42%
2008-10-05 - 2008-10-11,-40%
2008-10-12 - 2008-10-18,-46%
2008-10-19 - 2008-10-25,-37%
2008-10-26 - 2008-11-01,-40%
2008-11-02 - 2008-11-08,-40%
2008-11-09 - 2008-11-15,-42%
2008-11-16 - 2008-11-22,-40%
2008-11-23 - 2008-11-29,-40%
2008-11-30 - 2008-12-06,-48%
2008-12-07 - 2008-12-13,-48%
2008-12-14 - 2008-12-20,-49%
2008-12-21 - 2008-12-27,-58%
2008-12-28 - 2009-01-03,-54%
2009-01-04 - 2009-01-10,-46%
2009-01-11 - 2009-01-17,-36%
2009-01-18 - 2009-01-24,-37%
2009-01-25 - 2009-01-31,-45%
2009-02-01 - 2009-02-07,-49%
2009-02-08 - 2009-02-14,-49%
2009-02-15 - 2009-02-21,-45%
2009-02-22 - 2009-02-28,-49%
2009-03-01 - 2009-03-07,-43%
2009-03-08 - 2009-03-14,-43%
2009-03-15 - 2009-03-21,-39%
2009-03-22 - 2009-03-28,-42%
2009-03-29 - 2009-04-04,-46%
2009-04-05 - 2009-04-11,-49%
2009-04-12 - 2009-04-18,-40%
2009-04-19 - 2009-04-25,-36%
2009-04-26 - 2009-05-02,-40%
2009-05-03 - 2009-05-09,-42%
2009-05-10 - 2009-05-16,-36%
2009-05-17 - 2009-05-23,-33%
2009-05-24 - 2009-05-30,-42%
2009-05-31 - 2009-06-06,-46%
2009-06-07 - 2009-06-13,-52%
2009-06-14 - 2009-06-20,-48%
2009-06-21 - 2009-06-27,-52%
2009-06-28 - 2009-07-04,-51%
2009-07-05 - 2009-07-11,-54%
2009-07-12 - 2009-07-18,-46%
2009-07-19 - 2009-07-25,-54%
2009-07-26 - 2009-08-01,-52%
2009-08-02 - 2009-08-08,-55%
2009-08-09 - 2009-08-15,-58%
2009-08-16 - 2009-08-22,-60%
2009-08-23 - 2009-08-29,-58%
2009-08-30 - 2009-09-05,-57%
2009-09-06 - 2009-09-12,-49%
2009-09-13 - 2009-09-19,-49%
2009-09-20 - 2009-09-26,-40%
2009-09-27 - 2009-10-03,-37%
2009-10-04 - 2009-10-10,-36%
2009-10-11 - 2009-10-17,-40%
2009-10-18 - 2009-10-24,-34%
2009-10-25 - 2009-10-31,-34%
2009-11-01 - 2009-11-07,-39%
2009-11-08 - 2009-11-14,-37%
2009-11-15 - 2009-11-21,-40%
2009-11-22 - 2009-11-28,-39%
2009-11-29 - 2009-12-05,-43%
2009-12-06 - 2009-12-12,-45%
2009-12-13 - 2009-12-19,-46%
2009-12-20 - 2009-12-26,-63%
2009-12-27 - 2010-01-02,-58%
2010-01-03 - 2010-01-09,-48%
2010-01-10 - 2010-01-16,-42%
2010-01-17 - 2010-01-23,-42%
2010-01-24 - 2010-01-30,-43%
2010-01-31 - 2010-02-06,-43%
2010-02-07 - 2010-02-13,-43%
2010-02-14 - 2010-02-20,-48%
2010-02-21 - 2010-02-27,-43%
2010-02-28 - 2010-03-06,-42%
2010-03-07 - 2010-03-13,-45%
2010-03-14 - 2010-03-20,-43%
2010-03-21 - 2010-03-27,-43%
2010-03-28 - 2010-04-03,-52%
2010-04-04 - 2010-04-10,-49%
2010-04-11 - 2010-04-17,-40%
2010-04-18 - 2010-04-24,-36%
2010-04-25 - 2010-05-01,-42%
2010-05-02 - 2010-05-08,-40%
2010-05-09 - 2010-05-15,-37%
2010-05-16 - 2010-05-22,-36%
2010-05-23 - 2010-05-29,-40%
2010-05-30 - 2010-06-05,-46%
2010-06-06 - 2010-06-12,-43%
2010-06-13 - 2010-06-19,-42%
2010-06-20 - 2010-06-26,-48%
2010-06-27 - 2010-07-03,-49%
2010-07-04 - 2010-07-10,-52%
2010-07-11 - 2010-07-17,-49%
2010-07-18 - 2010-07-24,-55%
2010-07-25 - 2010-07-31,-48%
2010-08-01 - 2010-08-07,-52%
2010-08-08 - 2010-08-14,-52%
2010-08-15 - 2010-08-21,-57%
2010-08-22 - 2010-08-28,-52%
2010-08-29 - 2010-09-04,-27%
2010-09-05 - 2010-09-11,-7%
2010-09-12 - 2010-09-18,-34%
2010-09-19 - 2010-09-25,-34%
2010-09-26 - 2010-10-02,-37%
2010-10-03 - 2010-10-09,-42%
2010-10-10 - 2010-10-16,-42%
2010-10-17 - 2010-10-23,-39%
2010-10-24 - 2010-10-30,-42%
2010-10-31 - 2010-11-06,-39%
2010-11-07 - 2010-11-13,-40%
2010-11-14 - 2010-11-20,-43%
2010-11-21 - 2010-11-27,-42%
2010-11-28 - 2010-12-04,-46%
2010-12-05 - 2010-12-11,-49%
2010-12-12 - 2010-12-18,-52%
2010-12-19 - 2010-12-25,-61%
2010-12-26 - 2011-01-01,-54%
2011-01-02 - 2011-01-08,-52%
2011-01-09 - 2011-01-15,-48%
2011-01-16 - 2011-01-22,-51%
2011-01-23 - 2011-01-29,-48%
2011-01-30 - 2011-02-05,-49%
2011-02-06 - 2011-02-12,-46%
2011-02-13 - 2011-02-19,-52%
2011-02-20 - 2011-02-26,-49%
2011-02-27 - 2011-03-05,-52%
2011-03-06 - 2011-03-12,-54%
2011-03-13 - 2011-03-19,-55%
2011-03-20 - 2011-03-26,-52%
2011-03-27 - 2011-04-02,-49%
2011-04-03 - 2011-04-09,-51%
2011-04-10 - 2011-04-16,-51%
2011-04-17 - 2011-04-23,-58%
2011-04-24 - 2011-04-30,-57%
2011-05-01 - 2011-05-07,-55%
2011-05-08 - 2011-05-14,-46%
2011-05-15 - 2011-05-21,-51%
2011-05-22 - 2011-05-28,-55%
2011-05-29 - 2011-06-04,-52%
2011-06-05 - 2011-06-11,-60%
2011-06-12 - 2011-06-18,-60%
2011-06-19 - 2011-06-25,-61%
2011-06-26 - 2011-07-02,-64%
2011-07-03 - 2011-07-09,-60%
2011-07-10 - 2011-07-16,-63%
2011-07-17 - 2011-07-23,-61%
2011-07-24 - 2011-07-30,-63%
2011-07-31 - 2011-08-06,-58%
2011-08-07 - 2011-08-13,-63%
2011-08-14 - 2011-08-20,-61%
2011-08-21 - 2011-08-27,-63%
2011-08-28 - 2011-09-03,-60%
2011-09-04 - 2011-09-10,-61%
2011-09-11 - 2011-09-17,-61%
2011-09-18 - 2011-09-24,-55%
2011-09-25 - 2011-10-01,-52%
2011-10-02 - 2011-10-08,-51%
2011-10-09 - 2011-10-15,-52%
2011-10-16 - 2011-10-22,-49%
2011-10-23 - 2011-10-29,-48%
2011-10-30 - 2011-11-05,-51%
2011-11-06 - 2011-11-12,-46%
2011-11-13 - 2011-11-19,-46%
2011-11-20 - 2011-11-26,-49%
2011-11-27 - 2011-12-03,-54%
2011-12-04 - 2011-12-10,-55%
2011-12-11 - 2011-12-17,-55%
2011-12-18 - 2011-12-24,-66%
2011-12-25 - 2011-12-31,-63%
2012-01-01 - 2012-01-07,-54%
2012-01-08 - 2012-01-14,-52%
2012-01-15 - 2012-01-21,-54%
2012-01-22 - 2012-01-28,-52%
2012-01-29 - 2012-02-04,-55%
2012-02-05 - 2012-02-11,-54%
2012-02-12 - 2012-02-18,-55%
2012-02-19 - 2012-02-25,-57%
2012-02-26 - 2012-03-03,-55%
2012-03-04 - 2012-03-10,-54%
2012-03-11 - 2012-03-17,-54%
2012-03-18 - 2012-03-24,-51%
2012-03-25 - 2012-03-31,-54%
2012-04-01 - 2012-04-07,-57%
2012-04-08 - 2012-04-14,-55%
2012-04-15 - 2012-04-21,-52%
2012-04-22 - 2012-04-28,-52%
2012-04-29 - 2012-05-05,-57%
2012-05-06 - 2012-05-12,-49%
2012-05-13 - 2012-05-19,-46%
2012-05-20 - 2012-05-26,-57%
2012-05-27 - 2012-06-02,-57%
2012-06-03 - 2012-06-09,-60%
2012-06-10 - 2012-06-16,-60%
2012-06-17 - 2012-06-23,-63%
2012-06-24 - 2012-06-30,-61%
2012-07-01 - 2012-07-07,-60%
2012-07-08 - 2012-07-14,-61%
2012-07-15 - 2012-07-21,-66%
2012-07-22 - 2012-07-28,-66%
2012-07-29 - 2012-08-04,-67%
2012-08-05 - 2012-08-11,-67%
2012-08-12 - 2012-08-18,-67%
2012-08-19 - 2012-08-25,-66%
2012-08-26 - 2012-09-01,-69%
2012-09-02 - 2012-09-08,-67%
2012-09-09 - 2012-09-15,-63%
2012-09-16 - 2012-09-22,-61%
2012-09-23 - 2012-09-29,-57%
2012-09-30 - 2012-10-06,-60%
2012-10-07 - 2012-10-13,-60%
2012-10-14 - 2012-10-20,-57%
2012-10-21 - 2012-10-27,-60%
2012-10-28 - 2012-11-03,-63%
2012-11-04 - 2012-11-10,-57%
2012-11-11 - 2012-11-17,-57%
2012-11-18 - 2012-11-24,-58%
2012-11-25 - 2012-12-01, 



Top searches
museu,100
biblioteca,75
museus,20
biblioteca municipal,20
biblioteca nacional,15
bibliotecas,15
museu lisboa,10
ccb,10
museum,10
berardo,10
sams,10
library,10
museu arte antiga,5
louvre,5
biblioteca digital,5
gulbenkian,5
culturgest,5
museus lisboa,5
museu berardo,5
sams quadros,5



Rising searches
berardo,Breakout
biblioteca digital,Breakout
museu berardo,Breakout
sams,+300%
museu lisboa,+250%
ccb,+160%
museus lisboa,+150%
museu arte antiga,+100%
biblioteca municipal,+90%
museu,+90%



