Web Search Interest
France; 2004 - present

Interest over time
Week,Swimming Pools & Spas
2011-09-11 - 2011-09-17,+62%
2011-09-18 - 2011-09-24,+35%
2011-09-25 - 2011-10-01,+50%
2011-10-02 - 2011-10-08,+31%
2011-10-09 - 2011-10-15,+15%
2011-10-16 - 2011-10-22,+12%
2011-10-23 - 2011-10-29,+31%
2011-10-30 - 2011-11-05,+23%
2011-11-06 - 2011-11-12,+15%
2011-11-13 - 2011-11-19,+4%
2011-11-20 - 2011-11-26,+0%
2011-11-27 - 2011-12-03,-8%
2011-12-04 - 2011-12-10,-12%
2011-12-11 - 2011-12-17,-12%
2011-12-18 - 2011-12-24,-4%
2011-12-25 - 2011-12-31,+12%
2012-01-01 - 2012-01-07,+12%
2012-01-08 - 2012-01-14,+12%
2012-01-15 - 2012-01-21,+8%
2012-01-22 - 2012-01-28,+15%
2012-01-29 - 2012-02-04,+0%
2012-02-05 - 2012-02-11,+4%
2012-02-12 - 2012-02-18,+19%
2012-02-19 - 2012-02-25,+35%
2012-02-26 - 2012-03-03,+50%
2012-03-04 - 2012-03-10,+42%
2012-03-11 - 2012-03-17,+46%
2012-03-18 - 2012-03-24,+38%
2012-03-25 - 2012-03-31,+65%
2012-04-01 - 2012-04-07,+50%
2012-04-08 - 2012-04-14,+58%
2012-04-15 - 2012-04-21,+58%
2012-04-22 - 2012-04-28,+58%
2012-04-29 - 2012-05-05,+77%
2012-05-06 - 2012-05-12,+77%
2012-05-13 - 2012-05-19,+85%
2012-05-20 - 2012-05-26,+96%
2012-05-27 - 2012-06-02,+177%
2012-06-03 - 2012-06-09,+77%
2012-06-10 - 2012-06-16,+65%
2012-06-17 - 2012-06-23,+100%
2012-06-24 - 2012-06-30,+154%
2012-07-01 - 2012-07-07,+108%
2012-07-08 - 2012-07-14,+104%
2012-07-15 - 2012-07-21,+112%
2012-07-22 - 2012-07-28,+200%
2012-07-29 - 2012-08-04,+135%
2012-08-05 - 2012-08-11,+154%
2012-08-12 - 2012-08-18,+219%
2012-08-19 - 2012-08-25,+188%
2012-08-26 - 2012-09-01,+96%
2012-09-02 - 2012-09-08,+104%
2012-09-09 - 2012-09-15,+85%
2012-09-16 - 2012-09-22,+58%
2012-09-23 - 2012-09-29,+35%
2012-09-30 - 2012-10-06,+27%
2012-10-07 - 2012-10-13,+23%
2012-10-14 - 2012-10-20,+12%
2012-10-21 - 2012-10-27,+15%
2012-10-28 - 2012-11-03,+38%
2012-11-04 - 2012-11-10,+27%
2012-11-11 - 2012-11-17,+8%
2012-11-18 - 2012-11-24,+12%
2012-11-25 - 2012-12-01, 



Top searches
piscine,100
la piscine,5
sauna,5
piscines,5
horaires piscine,5
horaire piscine,5
piscine paris,5
piscine hors sol,5
piscine bois,5
aquaboulevard,5
piscine municipale,5
intex,5
whirlpool,0
pool,0
prix piscine,0
piscine intex,0
desjoyaux,0
lievin,0
picine,0
robot piscine,0



Rising searches
piscine intex,+190%
intex,+140%
horaire piscine,+120%
lievin,+100%
bache piscine,+80%
horaires piscine,+70%
la piscine,+70%
prix piscine,+70%
jacuzzi,+60%
robot piscine,+60%



